doc_id,content,doc_type,topic,argument_type,metadata,full_context
1_97_premise,"The right to speak springs from the innate sense of owning one's self rather than being a property of the state, which means that each individual has the right to their own thoughts and to express them. That right doesn't extend to publication, however, which is where Toure’s argument runs off the rails. If one wants to get published, then either one has to own the means to publication or pay someone else for the service. After all, no one has the right to confiscate someone else's printing press in order to get published.",premise,Internetaccess,attack,TOPIC: Internetaccess | ARGUMENT_TYPE: attack,"TOPIC: Internetaccess | ARGUMENT_TYPE: attack | PREMISE: The right to speak springs from the innate sense of owning one's self rather than being a property of the state, which means that each individual has the right to their own thoughts and to express them. That right doesn't extend to publication, however, which is where Toure’s argument runs off the rails. If one wants to get published, then either one has to own the means to publication or pay someone else for the service. After all, no one has the right to confiscate someone else's printing press in order to get published."
1_106_hypothesis,"Name ""Cordoba House"" is a very direct historical indication that the Ground Zero mosque is all about conquest and thus an assertion of Islamist triumphalism.",hypothesis,Groundzeromosque,attack,TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack,"TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack | HYPOTHESIS: Name ""Cordoba House"" is a very direct historical indication that the Ground Zero mosque is all about conquest and thus an assertion of Islamist triumphalism."
1_107_premise,Service helps connect and check military with civilians. A necessary means to ensure the defence forces maintain a close relationship to civil society in order to prevent a repeat of the way in which the Nazi party was able to manipulate professional soldiers in the 1930s.,premise,Militaryservice,support,TOPIC: Militaryservice | ARGUMENT_TYPE: support,TOPIC: Militaryservice | ARGUMENT_TYPE: support | PREMISE: Service helps connect and check military with civilians. A necessary means to ensure the defence forces maintain a close relationship to civil society in order to prevent a repeat of the way in which the Nazi party was able to manipulate professional soldiers in the 1930s.
1_107_hypothesis,National conscription is important to national security.,hypothesis,Militaryservice,support,TOPIC: Militaryservice | ARGUMENT_TYPE: support,TOPIC: Militaryservice | ARGUMENT_TYPE: support | HYPOTHESIS: National conscription is important to national security.
1_108_premise,Conscripts are never as good as professional soldiers.,premise,Militaryservice,attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack | PREMISE: Conscripts are never as good as professional soldiers.
1_108_hypothesis,National conscription is important to national security.,hypothesis,Militaryservice,attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack | HYPOTHESIS: National conscription is important to national security.
1_109_premise,"Conscripts will not last as long nor be as combat reliable in the battlefield as compared to a real soldier who is trained to do both. These 'conscripts' (candidates) are only given the basic training of how to wield a gun and aim, but that short-lived training will never prepare them to readily pull the trigger to end someone's life, therefore lowering their combat-efficiency because of the uncertainties they pose as soldiers.",premise,Militaryservice,support,TOPIC: Militaryservice | ARGUMENT_TYPE: support,"TOPIC: Militaryservice | ARGUMENT_TYPE: support | PREMISE: Conscripts will not last as long nor be as combat reliable in the battlefield as compared to a real soldier who is trained to do both. These 'conscripts' (candidates) are only given the basic training of how to wield a gun and aim, but that short-lived training will never prepare them to readily pull the trigger to end someone's life, therefore lowering their combat-efficiency because of the uncertainties they pose as soldiers."
1_109_hypothesis,Conscripts are never as good as professional soldiers.,hypothesis,Militaryservice,support,TOPIC: Militaryservice | ARGUMENT_TYPE: support,TOPIC: Militaryservice | ARGUMENT_TYPE: support | HYPOTHESIS: Conscripts are never as good as professional soldiers.
1_110_premise,"Compulsory service brings in unqualified and unfit. There are too many unqualified people and, in addition, quite a lot of them suffer from psychological problems.",premise,Militaryservice,support,TOPIC: Militaryservice | ARGUMENT_TYPE: support,"TOPIC: Militaryservice | ARGUMENT_TYPE: support | PREMISE: Compulsory service brings in unqualified and unfit. There are too many unqualified people and, in addition, quite a lot of them suffer from psychological problems."
1_110_hypothesis,Conscripts are never as good as professional soldiers.,hypothesis,Militaryservice,support,TOPIC: Militaryservice | ARGUMENT_TYPE: support,TOPIC: Militaryservice | ARGUMENT_TYPE: support | HYPOTHESIS: Conscripts are never as good as professional soldiers.
1_111_premise,The presidents children are in the military; congresses children are in the military. How fast would they be to go to war with the knowledge that their children would be deployed? Not as fast as they were willing to in the past. The government would defiantly become more willing to look at other options before leaping headfirst into a major conflict.,premise,Militaryservice,support,TOPIC: Militaryservice | ARGUMENT_TYPE: support,TOPIC: Militaryservice | ARGUMENT_TYPE: support | PREMISE: The presidents children are in the military; congresses children are in the military. How fast would they be to go to war with the knowledge that their children would be deployed? Not as fast as they were willing to in the past. The government would defiantly become more willing to look at other options before leaping headfirst into a major conflict.
1_111_hypothesis,National conscription is important to national security.,hypothesis,Militaryservice,support,TOPIC: Militaryservice | ARGUMENT_TYPE: support,TOPIC: Militaryservice | ARGUMENT_TYPE: support | HYPOTHESIS: National conscription is important to national security.
1_112_premise,Mandatory service is a very cost-efficient defence solution. Many European countries who have abandoned military service have had lots of problems recruiting.,premise,Militaryservice,support,TOPIC: Militaryservice | ARGUMENT_TYPE: support,TOPIC: Militaryservice | ARGUMENT_TYPE: support | PREMISE: Mandatory service is a very cost-efficient defence solution. Many European countries who have abandoned military service have had lots of problems recruiting.
1_112_hypothesis,National conscription is important to national security.,hypothesis,Militaryservice,support,TOPIC: Militaryservice | ARGUMENT_TYPE: support,TOPIC: Militaryservice | ARGUMENT_TYPE: support | HYPOTHESIS: National conscription is important to national security.
1_113_premise,"Because organized compulsion costs more than real volunteering, the indirect expenses for governments would be still greater. Chief among these are the hidden financial costs of universal national service to the economy in the form of forgone labor.",premise,Militaryservice,attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack,"TOPIC: Militaryservice | ARGUMENT_TYPE: attack | PREMISE: Because organized compulsion costs more than real volunteering, the indirect expenses for governments would be still greater. Chief among these are the hidden financial costs of universal national service to the economy in the form of forgone labor."
1_113_hypothesis,Mandatory service is a very cost-efficient defence solution. Many European countries who have abandoned military service have had lots of problems recruiting.,hypothesis,Militaryservice,attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack | HYPOTHESIS: Mandatory service is a very cost-efficient defence solution. Many European countries who have abandoned military service have had lots of problems recruiting.
1_114_premise,"Unnecessary to train whole nation to prepare for threats. Suhail Al-Enizi, aged 28, argued in 2010 that military service in Kuwait should not be mandatory: ""I am certain that we have enough soldiers in the army. We don't need to train the entire nation in order to be ready for threats; we are not in a police state. This is a democracy.""",premise,Militaryservice,attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack,"TOPIC: Militaryservice | ARGUMENT_TYPE: attack | PREMISE: Unnecessary to train whole nation to prepare for threats. Suhail Al-Enizi, aged 28, argued in 2010 that military service in Kuwait should not be mandatory: ""I am certain that we have enough soldiers in the army. We don't need to train the entire nation in order to be ready for threats; we are not in a police state. This is a democracy."""
1_114_hypothesis,National conscription is important to national security.,hypothesis,Militaryservice,attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack | HYPOTHESIS: National conscription is important to national security.
1_115_premise,No justification for mandatory service where no threat exists.,premise,Militaryservice,attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack | PREMISE: No justification for mandatory service where no threat exists.
1_115_hypothesis,National conscription is important to national security.,hypothesis,Militaryservice,attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack | HYPOTHESIS: National conscription is important to national security.
1_116_premise,"Conscription during peacetime would mean that the country was prepared for emergencies when they happened, rather than having to prepare after the fact.",premise,Militaryservice,attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack,"TOPIC: Militaryservice | ARGUMENT_TYPE: attack | PREMISE: Conscription during peacetime would mean that the country was prepared for emergencies when they happened, rather than having to prepare after the fact."
1_116_hypothesis,No justification for mandatory service where no threat exists.,hypothesis,Militaryservice,attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack | HYPOTHESIS: No justification for mandatory service where no threat exists.
1_117_premise,"Swedish brigadier general Bengt Axelsson responded to the phasing out of Sweden's military in 2009: ""I want to raise a warning finger. It's not going to be possible to achieve the volume of soldiers people are now counting on having by relying on volunteers"".",premise,Militaryservice,support,TOPIC: Militaryservice | ARGUMENT_TYPE: support,"TOPIC: Militaryservice | ARGUMENT_TYPE: support | PREMISE: Swedish brigadier general Bengt Axelsson responded to the phasing out of Sweden's military in 2009: ""I want to raise a warning finger. It's not going to be possible to achieve the volume of soldiers people are now counting on having by relying on volunteers""."
1_117_hypothesis,National conscription is important to national security.,hypothesis,Militaryservice,support,TOPIC: Militaryservice | ARGUMENT_TYPE: support,TOPIC: Militaryservice | ARGUMENT_TYPE: support | HYPOTHESIS: National conscription is important to national security.
1_118_premise,"Extensively training individuals that will subsequently only spend a couple of years in their respective roles is simply inefficient. It usually takes many years to secure a good return on investment from such training expenditures. Short-term compulsory service is, therefore, an inefficient use of resources.",premise,Militaryservice,attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack,"TOPIC: Militaryservice | ARGUMENT_TYPE: attack | PREMISE: Extensively training individuals that will subsequently only spend a couple of years in their respective roles is simply inefficient. It usually takes many years to secure a good return on investment from such training expenditures. Short-term compulsory service is, therefore, an inefficient use of resources."
1_118_hypothesis,National conscription is important to national security.,hypothesis,Militaryservice,attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack,TOPIC: Militaryservice | ARGUMENT_TYPE: attack | HYPOTHESIS: National conscription is important to national security.
1_119_premise,"No-fly zone would significantly benefit Libyan rebels. General McPeak said to New York Times: ""I think it would have a real impact. It might change their calculation of who might come out on top. Just the mere announcement of this might have an impact"".",premise,Noflyzone,support,TOPIC: Noflyzone | ARGUMENT_TYPE: support,"TOPIC: Noflyzone | ARGUMENT_TYPE: support | PREMISE: No-fly zone would significantly benefit Libyan rebels. General McPeak said to New York Times: ""I think it would have a real impact. It might change their calculation of who might come out on top. Just the mere announcement of this might have an impact""."
1_119_hypothesis,A no-fly zone over Libya has a significant impact on conflict.,hypothesis,Noflyzone,support,TOPIC: Noflyzone | ARGUMENT_TYPE: support,TOPIC: Noflyzone | ARGUMENT_TYPE: support | HYPOTHESIS: A no-fly zone over Libya has a significant impact on conflict.
1_120_premise,"Libyan rebels can succeed without no-fly zone. The excessive violence against protesters by Muammar Gaddafi's forces, including the use of air power against civilians, has triggered the rebellion of much of the country and the defection of many military officers to the side of the rebels. Libyan rebels now control the majority of the country, Gaddafi has limited control outside of the capital and his tribal stronghold of Sirt, and most of the military has not committed itself to Gaddafi's defense. Given time, the rebels seem poised to overthrow Gaddafi without outside help.",premise,Noflyzone,attack,TOPIC: Noflyzone | ARGUMENT_TYPE: attack,"TOPIC: Noflyzone | ARGUMENT_TYPE: attack | PREMISE: Libyan rebels can succeed without no-fly zone. The excessive violence against protesters by Muammar Gaddafi's forces, including the use of air power against civilians, has triggered the rebellion of much of the country and the defection of many military officers to the side of the rebels. Libyan rebels now control the majority of the country, Gaddafi has limited control outside of the capital and his tribal stronghold of Sirt, and most of the military has not committed itself to Gaddafi's defense. Given time, the rebels seem poised to overthrow Gaddafi without outside help."
1_120_hypothesis,A no-fly zone over Libya has a significant impact on conflict.,hypothesis,Noflyzone,attack,TOPIC: Noflyzone | ARGUMENT_TYPE: attack,TOPIC: Noflyzone | ARGUMENT_TYPE: attack | HYPOTHESIS: A no-fly zone over Libya has a significant impact on conflict.
1_121_premise,No-fly zone undermines main Libyan regime advantage: airpower.,premise,Noflyzone,support,TOPIC: Noflyzone | ARGUMENT_TYPE: support,TOPIC: Noflyzone | ARGUMENT_TYPE: support | PREMISE: No-fly zone undermines main Libyan regime advantage: airpower.
1_121_hypothesis,A no-fly zone over Libya has a significant impact on conflict.,hypothesis,Noflyzone,support,TOPIC: Noflyzone | ARGUMENT_TYPE: support,TOPIC: Noflyzone | ARGUMENT_TYPE: support | HYPOTHESIS: A no-fly zone over Libya has a significant impact on conflict.
1_122_premise,No fly zones have a history of limited effectiveness.,premise,Noflyzone,attack,TOPIC: Noflyzone | ARGUMENT_TYPE: attack,TOPIC: Noflyzone | ARGUMENT_TYPE: attack | PREMISE: No fly zones have a history of limited effectiveness.
1_122_hypothesis,A no-fly zone over Libya has a significant impact on conflict.,hypothesis,Noflyzone,attack,TOPIC: Noflyzone | ARGUMENT_TYPE: attack,TOPIC: Noflyzone | ARGUMENT_TYPE: attack | HYPOTHESIS: A no-fly zone over Libya has a significant impact on conflict.
1_123_premise,"Iraq and Kosovo no-fly zones weren't really successes. We should remember that the no-fly zones in Iraq devolved into a decade-long air war that paved the way for the later invasion of Iraq, and the Kosovo intervention brought an end to Serbian control of the province only to deliver it into the hands of a criminal gang in the Kosovo Liberation Army.",premise,Noflyzone,support,TOPIC: Noflyzone | ARGUMENT_TYPE: support,"TOPIC: Noflyzone | ARGUMENT_TYPE: support | PREMISE: Iraq and Kosovo no-fly zones weren't really successes. We should remember that the no-fly zones in Iraq devolved into a decade-long air war that paved the way for the later invasion of Iraq, and the Kosovo intervention brought an end to Serbian control of the province only to deliver it into the hands of a criminal gang in the Kosovo Liberation Army."
1_123_hypothesis,No fly zones have a history of limited effectiveness.,hypothesis,Noflyzone,support,TOPIC: Noflyzone | ARGUMENT_TYPE: support,TOPIC: Noflyzone | ARGUMENT_TYPE: support | HYPOTHESIS: No fly zones have a history of limited effectiveness.
1_124_premise,No fly zone in Libya prevents a massacre.,premise,Noflyzone,support,TOPIC: Noflyzone | ARGUMENT_TYPE: support,TOPIC: Noflyzone | ARGUMENT_TYPE: support | PREMISE: No fly zone in Libya prevents a massacre.
1_124_hypothesis,A no-fly zone over Libya has a significant impact on conflict.,hypothesis,Noflyzone,support,TOPIC: Noflyzone | ARGUMENT_TYPE: support,TOPIC: Noflyzone | ARGUMENT_TYPE: support | HYPOTHESIS: A no-fly zone over Libya has a significant impact on conflict.
1_125_premise,"If Gadhaffi wins then there will be a massacre. Even if he loses there is likely to be a massacre. It's quite clear to me that were Tripoli to be surrounded Gadhaffi would not meekly surrender. He would go down while aiming to kill as many of his opponents as possible. His aerial forces are the key to his capability to do this. So, while neutralising them is not a guarantee against such a terrible occurrence, it does diminish its possibility"".",premise,Noflyzone,support,TOPIC: Noflyzone | ARGUMENT_TYPE: support,"TOPIC: Noflyzone | ARGUMENT_TYPE: support | PREMISE: If Gadhaffi wins then there will be a massacre. Even if he loses there is likely to be a massacre. It's quite clear to me that were Tripoli to be surrounded Gadhaffi would not meekly surrender. He would go down while aiming to kill as many of his opponents as possible. His aerial forces are the key to his capability to do this. So, while neutralising them is not a guarantee against such a terrible occurrence, it does diminish its possibility""."
1_125_hypothesis,No fly zone in Libya prevents a massacre.,hypothesis,Noflyzone,support,TOPIC: Noflyzone | ARGUMENT_TYPE: support,TOPIC: Noflyzone | ARGUMENT_TYPE: support | HYPOTHESIS: No fly zone in Libya prevents a massacre.
1_126_premise,"No-fly zone wouldn't prevent most atrocities. Leslie Gelb in the The Daily Beast said: ""...U.S. jets high up in the sky still wouldn't be able, in most cases, to spot Libyan helicopter attacks at much lower altitudes and destroy them. Since these helicopters are doing the most damage now, what would the interventionists advocate at that point?""",premise,Noflyzone,attack,TOPIC: Noflyzone | ARGUMENT_TYPE: attack,"TOPIC: Noflyzone | ARGUMENT_TYPE: attack | PREMISE: No-fly zone wouldn't prevent most atrocities. Leslie Gelb in the The Daily Beast said: ""...U.S. jets high up in the sky still wouldn't be able, in most cases, to spot Libyan helicopter attacks at much lower altitudes and destroy them. Since these helicopters are doing the most damage now, what would the interventionists advocate at that point?"""
1_126_hypothesis,No fly zone in Libya prevents a massacre.,hypothesis,Noflyzone,attack,TOPIC: Noflyzone | ARGUMENT_TYPE: attack,TOPIC: Noflyzone | ARGUMENT_TYPE: attack | HYPOTHESIS: No fly zone in Libya prevents a massacre.
1_127_premise,"Along with a no-fly zone, another important step would be to use American military aircraft to jam Libyan state television and radio propaganda and Libyan military communications. General McPeak said such jamming would be dead easy.",premise,Noflyzone,support,TOPIC: Noflyzone | ARGUMENT_TYPE: support,"TOPIC: Noflyzone | ARGUMENT_TYPE: support | PREMISE: Along with a no-fly zone, another important step would be to use American military aircraft to jam Libyan state television and radio propaganda and Libyan military communications. General McPeak said such jamming would be dead easy."
1_127_hypothesis,A no-fly zone over Libya has a significant impact on conflict.,hypothesis,Noflyzone,support,TOPIC: Noflyzone | ARGUMENT_TYPE: support,TOPIC: Noflyzone | ARGUMENT_TYPE: support | HYPOTHESIS: A no-fly zone over Libya has a significant impact on conflict.
1_128_premise,"A no-fly zone would taint not just the Libyan rebels, but the whole Arab pro-democracy movement, as western stooges, sapping the uprising of its home-grown vitality. The Arab League vote in favour represented the region's elites. The ""Arab street"" would be far more hostile to western intervention, especially if civilians were harmed. Al-Qaida could exploit the consequent turmoil to present itself as the defender of Arab sovereignty and pride.",premise,Noflyzone,attack,TOPIC: Noflyzone | ARGUMENT_TYPE: attack,"TOPIC: Noflyzone | ARGUMENT_TYPE: attack | PREMISE: A no-fly zone would taint not just the Libyan rebels, but the whole Arab pro-democracy movement, as western stooges, sapping the uprising of its home-grown vitality. The Arab League vote in favour represented the region's elites. The ""Arab street"" would be far more hostile to western intervention, especially if civilians were harmed. Al-Qaida could exploit the consequent turmoil to present itself as the defender of Arab sovereignty and pride."
1_128_hypothesis,A no-fly zone over Libya has a significant impact on conflict.,hypothesis,Noflyzone,attack,TOPIC: Noflyzone | ARGUMENT_TYPE: attack,TOPIC: Noflyzone | ARGUMENT_TYPE: attack | HYPOTHESIS: A no-fly zone over Libya has a significant impact on conflict.
1_129_premise,"Terrorists are most often Muslims; worth profiling them at the airport. We have to talk about the taboo topic of profiling because terrorism experts are increasingly recognizing that religious ideology makes terrorist organizations and terrorists more likely to commit heinous crimes against civilians, such as blowing an airliner out of the sky. Certainly, it's not an easy or comfortable conversation but it's one, I believe, we must have.",premise,Securityprofiling,support,TOPIC: Securityprofiling | ARGUMENT_TYPE: support,"TOPIC: Securityprofiling | ARGUMENT_TYPE: support | PREMISE: Terrorists are most often Muslims; worth profiling them at the airport. We have to talk about the taboo topic of profiling because terrorism experts are increasingly recognizing that religious ideology makes terrorist organizations and terrorists more likely to commit heinous crimes against civilians, such as blowing an airliner out of the sky. Certainly, it's not an easy or comfortable conversation but it's one, I believe, we must have."
1_129_hypothesis,Airport security profiling is an effective strategy.,hypothesis,Securityprofiling,support,TOPIC: Securityprofiling | ARGUMENT_TYPE: support,TOPIC: Securityprofiling | ARGUMENT_TYPE: support | HYPOTHESIS: Airport security profiling is an effective strategy.
1_130_premise,"One solution is to use information about passengers (voluntarily provided and readily assessable) to eliminate those who have negligible risk factors, which should be the case for 60 to 70 percent of passengers. Then apply state-of-the art technologies for the remaining pool of passengers, for which less information is known, and subject them to the highest level of security screening, and in some cases, not allow them to fly. We can call this behavioral profiling, information profiling, or whatever we wish. However, until we use security resources appropriately, we will never achieve a secure air system.",premise,Securityprofiling,support,TOPIC: Securityprofiling | ARGUMENT_TYPE: support,"TOPIC: Securityprofiling | ARGUMENT_TYPE: support | PREMISE: One solution is to use information about passengers (voluntarily provided and readily assessable) to eliminate those who have negligible risk factors, which should be the case for 60 to 70 percent of passengers. Then apply state-of-the art technologies for the remaining pool of passengers, for which less information is known, and subject them to the highest level of security screening, and in some cases, not allow them to fly. We can call this behavioral profiling, information profiling, or whatever we wish. However, until we use security resources appropriately, we will never achieve a secure air system."
1_130_hypothesis,Airport security profiling is an effective strategy.,hypothesis,Securityprofiling,support,TOPIC: Securityprofiling | ARGUMENT_TYPE: support,TOPIC: Securityprofiling | ARGUMENT_TYPE: support | HYPOTHESIS: Airport security profiling is an effective strategy.
1_131_premise,"Racial airport security profiling is also unworkable. Once aware of national profiling, terrorists will simply use people from ""non-profiled"" countries or origins, like FBI most-wanted Qaeda suspect Adam Gadahn, an American.",premise,Securityprofiling,attack,TOPIC: Securityprofiling | ARGUMENT_TYPE: attack,"TOPIC: Securityprofiling | ARGUMENT_TYPE: attack | PREMISE: Racial airport security profiling is also unworkable. Once aware of national profiling, terrorists will simply use people from ""non-profiled"" countries or origins, like FBI most-wanted Qaeda suspect Adam Gadahn, an American."
1_131_hypothesis,Airport security profiling is an effective strategy.,hypothesis,Securityprofiling,attack,TOPIC: Securityprofiling | ARGUMENT_TYPE: attack,TOPIC: Securityprofiling | ARGUMENT_TYPE: attack | HYPOTHESIS: Airport security profiling is an effective strategy.
1_132_premise,"Terrorists can easily beat profiling systems and, even worse, profiling creates two paths through security: one with less scrutiny and one with more. And once you do that, you invite the terrorists to take the path with less scrutiny. That is, a terrorist group can safely probe any profiling system and figure out how to beat the profile. And once they do, they're going to get through airport security with the minimum level of screening every time.",premise,Securityprofiling,attack,TOPIC: Securityprofiling | ARGUMENT_TYPE: attack,"TOPIC: Securityprofiling | ARGUMENT_TYPE: attack | PREMISE: Terrorists can easily beat profiling systems and, even worse, profiling creates two paths through security: one with less scrutiny and one with more. And once you do that, you invite the terrorists to take the path with less scrutiny. That is, a terrorist group can safely probe any profiling system and figure out how to beat the profile. And once they do, they're going to get through airport security with the minimum level of screening every time."
1_132_hypothesis,Airport security profiling is an effective strategy.,hypothesis,Securityprofiling,attack,TOPIC: Securityprofiling | ARGUMENT_TYPE: attack,TOPIC: Securityprofiling | ARGUMENT_TYPE: attack | HYPOTHESIS: Airport security profiling is an effective strategy.
