file_id,pair_id,topic,task,premise_id,premise_text,hypothesis_id,hypothesis_text,argument_type,original_entailment,original_argument,complex_attack_type,source_file,unique_id,content_length
1,111,Militaryservice,ARG,6,The presidents children are in the military; congresses children are in the military. How fast would they be to go to war with the knowledge that their children would be deployed? Not as fast as they were willing to in the past. The government would defiantly become more willing to look at other options before leaping headfirst into a major conflict.,1,National conscription is important to national security.,support,YES,,,data\1.csv,1_111,408
1,112,Militaryservice,ARG,7,Mandatory service is a very cost-efficient defence solution. Many European countries who have abandoned military service have had lots of problems recruiting.,1,National conscription is important to national security.,support,YES,,,data\1.csv,1_112,214
1,113,Militaryservice,ARG,8,"Because organized compulsion costs more than real volunteering, the indirect expenses for governments would be still greater. Chief among these are the hidden financial costs of universal national service to the economy in the form of forgone labor.",7,Mandatory service is a very cost-efficient defence solution. Many European countries who have abandoned military service have had lots of problems recruiting.,attack,NO,,,data\1.csv,1_113,407
1,114,Militaryservice,ARG,9,"Unnecessary to train whole nation to prepare for threats. Suhail Al-Enizi, aged 28, argued in 2010 that military service in Kuwait should not be mandatory: ""I am certain that we have enough soldiers in the army. We don't need to train the entire nation in order to be ready for threats; we are not in a police state. This is a democracy.""",1,National conscription is important to national security.,attack,NO,,,data\1.csv,1_114,394
1,115,Militaryservice,ARG,10,No justification for mandatory service where no threat exists.,1,National conscription is important to national security.,attack,NO,,,data\1.csv,1_115,118
1,116,Militaryservice,ARG,11,"Conscription during peacetime would mean that the country was prepared for emergencies when they happened, rather than having to prepare after the fact.",10,No justification for mandatory service where no threat exists.,attack,NO,,,data\1.csv,1_116,214
1,117,Militaryservice,ARG,12,"Swedish brigadier general Bengt Axelsson responded to the phasing out of Sweden's military in 2009: ""I want to raise a warning finger. It's not going to be possible to achieve the volume of soldiers people are now counting on having by relying on volunteers"".",1,National conscription is important to national security.,support,YES,,,data\1.csv,1_117,315
1,118,Militaryservice,ARG,13,"Extensively training individuals that will subsequently only spend a couple of years in their respective roles is simply inefficient. It usually takes many years to secure a good return on investment from such training expenditures. Short-term compulsory service is, therefore, an inefficient use of resources.",1,National conscription is important to national security.,attack,NO,,,data\1.csv,1_118,366
1,119,Noflyzone,ARG,2,"No-fly zone would significantly benefit Libyan rebels. General McPeak said to New York Times: ""I think it would have a real impact. It might change their calculation of who might come out on top. Just the mere announcement of this might have an impact"".",1,A no-fly zone over Libya has a significant impact on conflict.,support,YES,,,data\1.csv,1_119,315
1,120,Noflyzone,ARG,3,"Libyan rebels can succeed without no-fly zone. The excessive violence against protesters by Muammar Gaddafi's forces, including the use of air power against civilians, has triggered the rebellion of much of the country and the defection of many military officers to the side of the rebels. Libyan rebels now control the majority of the country, Gaddafi has limited control outside of the capital and his tribal stronghold of Sirt, and most of the military has not committed itself to Gaddafi's defense. Given time, the rebels seem poised to overthrow Gaddafi without outside help.",1,A no-fly zone over Libya has a significant impact on conflict.,attack,NO,,,data\1.csv,1_120,642
1,121,Noflyzone,ARG,4,No-fly zone undermines main Libyan regime advantage: airpower.,1,A no-fly zone over Libya has a significant impact on conflict.,support,YES,,,data\1.csv,1_121,124
1,122,Noflyzone,ARG,5,No fly zones have a history of limited effectiveness.,1,A no-fly zone over Libya has a significant impact on conflict.,attack,NO,,,data\1.csv,1_122,115
1,123,Noflyzone,ARG,6,"Iraq and Kosovo no-fly zones weren't really successes. We should remember that the no-fly zones in Iraq devolved into a decade-long air war that paved the way for the later invasion of Iraq, and the Kosovo intervention brought an end to Serbian control of the province only to deliver it into the hands of a criminal gang in the Kosovo Liberation Army.",5,No fly zones have a history of limited effectiveness.,support,YES,,,data\1.csv,1_123,405
1,124,Noflyzone,ARG,7,No fly zone in Libya prevents a massacre.,1,A no-fly zone over Libya has a significant impact on conflict.,support,YES,,,data\1.csv,1_124,103
1,125,Noflyzone,ARG,8,"If Gadhaffi wins then there will be a massacre. Even if he loses there is likely to be a massacre. It's quite clear to me that were Tripoli to be surrounded Gadhaffi would not meekly surrender. He would go down while aiming to kill as many of his opponents as possible. His aerial forces are the key to his capability to do this. So, while neutralising them is not a guarantee against such a terrible occurrence, it does diminish its possibility"".",7,No fly zone in Libya prevents a massacre.,support,YES,,,data\1.csv,1_125,488
1,126,Noflyzone,ARG,9,"No-fly zone wouldn't prevent most atrocities. Leslie Gelb in the The Daily Beast said: ""...U.S. jets high up in the sky still wouldn't be able, in most cases, to spot Libyan helicopter attacks at much lower altitudes and destroy them. Since these helicopters are doing the most damage now, what would the interventionists advocate at that point?""",7,No fly zone in Libya prevents a massacre.,attack,NO,,,data\1.csv,1_126,387
1,127,Noflyzone,ARG,10,"Along with a no-fly zone, another important step would be to use American military aircraft to jam Libyan state television and radio propaganda and Libyan military communications. General McPeak said such jamming would be dead easy.",1,A no-fly zone over Libya has a significant impact on conflict.,support,YES,,,data\1.csv,1_127,294
1,128,Noflyzone,ARG,11,"A no-fly zone would taint not just the Libyan rebels, but the whole Arab pro-democracy movement, as western stooges, sapping the uprising of its home-grown vitality. The Arab League vote in favour represented the region's elites. The ""Arab street"" would be far more hostile to western intervention, especially if civilians were harmed. Al-Qaida could exploit the consequent turmoil to present itself as the defender of Arab sovereignty and pride.",1,A no-fly zone over Libya has a significant impact on conflict.,attack,NO,,,data\1.csv,1_128,508
1,129,Securityprofiling,ARG,2,"Terrorists are most often Muslims; worth profiling them at the airport. We have to talk about the taboo topic of profiling because terrorism experts are increasingly recognizing that religious ideology makes terrorist organizations and terrorists more likely to commit heinous crimes against civilians, such as blowing an airliner out of the sky. Certainly, it's not an easy or comfortable conversation but it's one, I believe, we must have.",1,Airport security profiling is an effective strategy.,support,YES,,,data\1.csv,1_129,493
1,130,Securityprofiling,ARG,3,"One solution is to use information about passengers (voluntarily provided and readily assessable) to eliminate those who have negligible risk factors, which should be the case for 60 to 70 percent of passengers. Then apply state-of-the art technologies for the remaining pool of passengers, for which less information is known, and subject them to the highest level of security screening, and in some cases, not allow them to fly. We can call this behavioral profiling, information profiling, or whatever we wish. However, until we use security resources appropriately, we will never achieve a secure air system.",1,Airport security profiling is an effective strategy.,support,YES,,,data\1.csv,1_130,664
1,131,Securityprofiling,ARG,4,"Racial airport security profiling is also unworkable. Once aware of national profiling, terrorists will simply use people from ""non-profiled"" countries or origins, like FBI most-wanted Qaeda suspect Adam Gadahn, an American.",1,Airport security profiling is an effective strategy.,attack,NO,,,data\1.csv,1_131,276
1,132,Securityprofiling,ARG,5,"Terrorists can easily beat profiling systems and, even worse, profiling creates two paths through security: one with less scrutiny and one with more. And once you do that, you invite the terrorists to take the path with less scrutiny. That is, a terrorist group can safely probe any profiling system and figure out how to beat the profile. And once they do, they're going to get through airport security with the minimum level of screening every time.",1,Airport security profiling is an effective strategy.,attack,NO,,,data\1.csv,1_132,503
1,133,Securityprofiling,ARG,6,"Profiling will use such information as nervousness at airport. We're not talking only about profiling Muslims. We need to take a lesson from the Israelis. When you go through security checkpoints in Tel Aviv airport, you have very highly trained screeners. Someone who is about to carry on a terrorist attack acts nervous, acts suspicious under such scrutiny.""",1,Airport security profiling is an effective strategy.,support,YES,,,data\1.csv,1_133,412
1,134,Securityprofiling,ARG,7,"We have seen that certain types of people who fit a certain profile – young men of a particular ethnic background – have been engaged in terror activities, and targeting this sort of passenger would give people a greater sense of security. Profiling has to be backed by this type of statistical and intelligence-based evidence. There would be no point in stopping Muslim grandmothers.",1,Airport security profiling is an effective strategy.,support,YES,,,data\1.csv,1_134,436
1,135,Securityprofiling,ARG,8,"It's not true that all terrorists are Muslims. Any such measure would not only alienate people, it would also be ineffective in terms of stopping terrorists. What's to stop them dressing up as orthodox Jews in order to evade profiling-based searches?",7,"We have seen that certain types of people who fit a certain profile – young men of a particular ethnic background – have been engaged in terror activities, and targeting this sort of passenger would give people a greater sense of security. Profiling has to be backed by this type of statistical and intelligence-based evidence. There would be no point in stopping Muslim grandmothers.",attack,NO,,,data\1.csv,1_135,634
1,136,Securityprofiling,ARG,9,"Many terrorism suspects came from within the United States and European Union countries. Airport profiling does not help against individuals with names and ethnic backgrounds like Richard Reid, Jose Padilla, David Headley and Michael Finton.",1,Airport security profiling is an effective strategy.,attack,NO,,,data\1.csv,1_136,293
1,137,Solarenergy,ARG,2,"Slowly but steadily, solar has been in the throes of a quiet revolution, with efficiencies rising, costs falling, and new technological breakthroughs — including the recent development of nano-thin photovoltaic materials — all dramatically changing the game.",1,Solar energy is economically sound.,support,YES,,,data\1.csv,1_137,293
1,138,Solarenergy,ARG,3,"Compared to fossil fuels, sunlight is a weak energy source because the radiation strength is ""diluted"" by the time the rays reach earth. This makes its collection more difficult and expensive. In general, more high technology, equipment, and land-area are required with solar energy to produce the same amount of energy as other resources. This makes it more challenging and expensive.",1,Solar energy is economically sound.,attack,NO,,,data\1.csv,1_138,420
1,139,Solarenergy,ARG,4,"Solar energy is free after the initial investment. Once installed, there are no recurring costs involved with Solar Energy.",1,Solar energy is economically sound.,support,YES,,,data\1.csv,1_139,158
1,140,Solarenergy,ARG,6,High oil prices make solar more competitive. High oil prices in recent years have made solar power much more price competitive.,1,Solar energy is economically sound.,support,YES,,,data\1.csv,1_140,162
1,141,Solarenergy,ARG,6,"Solar energy is abundant. Every minute, enough energy arrives at planet Earth to meet human energy demands for a year. It is, therefore, the most abundant energy source available to humans. This abundance makes it an economic gem.",1,Solar energy is economically sound.,support,YES,,,data\1.csv,1_141,265
1,142,Solarenergy,ARG,7,"Solar panels cannot produce energy at night like other alternatives. Coal-electricity and hydroelectricity can both operate 24/7. Solar power, however, can only operate during the day-time. This means that solar power's energy yield is smaller relative to the capital investment.",6,"Solar energy is abundant. Every minute, enough energy arrives at planet Earth to meet human energy demands for a year. It is, therefore, the most abundant energy source available to humans. This abundance makes it an economic gem.",attack,NO,,,data\1.csv,1_142,509
1,143,Solarenergy,ARG,8,"Clouds and smog undermine solar energy unlike other energy sources. If it is cloudy, the output of solar energy can be reduced by over ninety percent. This means that solar energy is entirely dependent on good weather, an unpredictable variable that is economically unattractive.",6,"Solar energy is abundant. Every minute, enough energy arrives at planet Earth to meet human energy demands for a year. It is, therefore, the most abundant energy source available to humans. This abundance makes it an economic gem.",attack,NO,,,data\1.csv,1_143,509
1,144,Solarenergy,ARG,9,The recovery/payback period can be very short. This is the length of time it takes to begin making profits on solar energy.,1,Solar energy is economically sound.,support,YES,,,data\1.csv,1_144,158
1,145,Solarenergy,ARG,10,"Solar energy panels can be added to meet growing needs. If a household or business demands more energy, it can always adds solar panels. Solar energy is easily scalable in this way.",1,Solar energy is economically sound.,support,YES,,,data\1.csv,1_145,216
1,146,Solarenergy,ARG,11,"The employment opportunities created by solar power are interesting because they involve a high degree of interaction between the employee and communities that are demanding solar energy. That is, solar business transactions occur at a local level in face-to-fact deals and sales. More centralized forms of energy production (coal, oil, nuclear) entail employment opportunities that often isolate employees in far off places in which they have very little interaction with the communities that they are actually serving.",1,Solar energy is economically sound.,support,YES,,,data\1.csv,1_146,555
1,147,Solarenergy,ARG,12,Many solar energy systems are now price competitive with coal.,1,Solar energy is economically sound.,support,YES,,,data\1.csv,1_147,97
1,148,Solarenergy,ARG,13,"Is it possible that solar power will be more cost effective than coal in 12 years? It seems like a pipe dream, but the US government along with huge investors like Goldman Sachs, Chevron, and Google seem to think it's a little better than just a distant possibility. Factoring in tax incentives, likely carbon-capping legislation, and rising natural gas prices, experts are estimating that the prices of coal and solar power will flip-flop by 2020.",12,Many solar energy systems are now price competitive with coal.,support,YES,,,data\1.csv,1_148,510
1,149,Solarenergy,ARG,14,"A new combination of nano and solar technology has made it possible for solar electric generation to be cheaper than burning coal. Nanosolar, Inc. has developed a way to produce a type of ink that absorbs solar radiation and converts into electric current. Photovoltaic (PV) sheets are produced by a machine similar to a printing press, which rolls out the PV ink onto sheets approximately the width of aluminum foil. These PV sheets can be produced at a rate of hundreds of feet per minute.",12,Many solar energy systems are now price competitive with coal.,support,YES,,,data\1.csv,1_149,553
1,150,Solarenergy,ARG,15,"Larry Page, Google co-founder said in late 2007, ""With talented technologists, great partners and significant investments, we hope to rapidly push forward. Our goal is to produce one gigawatt of renewable energy capacity that is cheaper than coal. We are optimistic this can be done in years, not decades"".",12,Many solar energy systems are now price competitive with coal.,support,YES,,,data\1.csv,1_150,368
1,151,Solarenergy,ARG,16,"Solar panels collect approximately 8 to 15% of the energy that reaches them, while coal-powered plants achieve about 35% efficiency.",14,Many solar energy systems are now price competitive with coal.,attack,NO,,,data\1.csv,1_151,194
1,152,Gasvehicles,ARG,2,"As the nation looks for ways to reduce air pollution from vehicles, natural gas is the ideal environmental alternative to gasoline. For starters, natural gas is clean. (It's the same clean-burning natural gas that you use to cook or heat your home). Vehicles fueled with natural gas can dramatically reduce emissions of carbon monoxide and reactive hydrocarbons-which interact with sunlight to produce ozone, the principal component of smog. Natural Gas Vehicles also reduce emissions of carbon dioxide, the principal ""greenhouse"" gas.",1,Natural gas vehicles help cut emissions and fight global warming.,support,YES,,,data\1.csv,1_152,600
1,153,Gasvehicles,ARG,3,"Compared with their petroleum-powered counterparts, natural gas vehicles greatly reduce greenhouse gas emissions. The exhaust created from natural gas contains 70 percent less carbon monoxide, nearly 90 percent less nitrogen oxide and non-methane organic gas, and virtually no particulate matter.",1,Natural gas vehicles help cut emissions and fight global warming.,support,YES,,,data\1.csv,1_153,361
1,154,Gasvehicles,ARG,4,"Natural gas hardly reduces emissions compared to petroleum. When natural gas replaces gasoline, greenhouse gases are reduced by just 20 to 30%. When natural gas is used instead of diesel in trucks, greenhouse gases are reduced just 10 to 20%. If diesel is almost comparable, then it makes more sense to fund that as a stop gap as that infrastructure is already in place.",3,"Compared with their petroleum-powered counterparts, natural gas vehicles greatly reduce greenhouse gas emissions. The exhaust created from natural gas contains 70 percent less carbon monoxide, nearly 90 percent less nitrogen oxide and non-methane organic gas, and virtually no particulate matter.",attack,NO,,,data\1.csv,1_154,666
1,155,Gasvehicles,ARG,5,"Natural gas is much cleaner-burning than gasoline. According to the Environmental Protection Agency, natural gas can reduce carbon-monoxide emissions by 90 to 97 percent and nitrogen-oxide emissions by 35 to 60 percent when compared with gasoline. Natural gas can also potentially reduce non-methane hydrocarbon emissions by 50 to 75 percent, while producing fewer carcinogenic pollutants and little or no particulate matter.",3,"Compared with their petroleum-powered counterparts, natural gas vehicles greatly reduce greenhouse gas emissions. The exhaust created from natural gas contains 70 percent less carbon monoxide, nearly 90 percent less nitrogen oxide and non-methane organic gas, and virtually no particulate matter.",support,YES,,,data\1.csv,1_155,721
1,156,Gasvehicles,ARG,6,"On the surface, natural gas cars seem alright, but the topic becomes a bit different when these cars are competing against ""zero emission"" alternatives such as electric cars that are powered utilizing a solar grid.",1,Natural gas vehicles help cut emissions and fight global warming.,attack,NO,,,data\1.csv,1_156,279
1,157,Gasvehicles,ARG,7,"Natural gas vehicles run on natural gas, a fossil fuel, so emit significant amounts of greenhouse gases into the atmosphere, albeit smaller amounts than gasoline-fueled cars (roughly 30% less). If our goal is to aggressively fight global warming, does it make sense to invest in slightly cleaner technologies, or fully 0-emission ones? If we are serious about combating global warming, we should be focusing our energies and investments solely on 0-emission electric vehicles.",6,"On the surface, natural gas cars seem alright, but the topic becomes a bit different when these cars are competing against ""zero emission"" alternatives such as electric cars that are powered utilizing a solar grid.",support,YES,,,data\1.csv,1_157,690
1,158,Gasvehicles,ARG,8,"Natural gas is the cleanest transportation fuel available today. The important conclusion is that, if we want to immediately begin the process of significantly reducing greenhouse gas emissions, natural gas can help now. Other alternatives cannot be pursued as quickly.",6,"On the surface, natural gas cars seem alright, but the topic becomes a bit different when these cars are competing against ""zero emission"" alternatives such as electric cars that are powered utilizing a solar grid.",attack,NO,,,data\1.csv,1_158,483
1,159,Gasvehicles,ARG,9,"Gasoline vehicles can be converted to run on natural gas. This means that heavy-polluting vehicles can be transformed into much lower-emission vehicles. This is key, as the millions of gasoline vehicles on the road currently cannot be immediately removed from the road.",1,Natural gas vehicles help cut emissions and fight global warming.,support,YES,,,data\1.csv,1_159,334
1,160,Gasvehicles,ARG,10,"Gasoline/petrol vehicles converted to run on natural gas suffer because of the low compression ratio of their engines, resulting in a cropping of delivered power while running on natural gas (10%-15%). This inefficiency is costly economically and in terms of global warming.",9,"Gasoline vehicles can be converted to run on natural gas. This means that heavy-polluting vehicles can be transformed into much lower-emission vehicles. This is key, as the millions of gasoline vehicles on the road currently cannot be immediately removed from the road.",attack,NO,,,data\1.csv,1_160,543
1,161,Gasvehicles,ARG,11,"Natural gas will simply relieve demand pressures on coal and petroleum and, subsequently, decrease prices. This will only make it easier for people to buy and consume oil and coal. Natural gas will not, therefore, replace coal and petroleum. It will only add to the absolute amount of fossil fuels we are burning, and greenhouse gases we are emitting.",1,Natural gas vehicles help cut emissions and fight global warming.,attack,NO,,,data\1.csv,1_161,416
1,162,Gasvehicles,ARG,12,"Methane is a much worse greenhouse gas than C02. Methane is very prominent within ""natural gas"". This is of concern because the drilling and transportation of natural gas will inevitably lead to leaks and large-scale ""spills"" that will release this highly harmful gas into the atmosphere and contribute substantially to global warming. These risks should not be taken.",1,Natural gas vehicles help cut emissions and fight global warming.,attack,NO,,,data\1.csv,1_162,433
1,163,Cellphones,ARG,2,"Citizens' judgement should be trusted in using cell phones. For example, it is responsible to use a cell phone while the car is at a standstill in gridlocked traffic, while waiting at traffic lights, or on a quiet road with good visibility ahead. The driver should be taught to use cell phones on the road with discretion, rather than rigidly banning their use all together.",1,The use of cell-phones while driving is a public hazard.,attack,NO,,,data\1.csv,1_163,430
1,164,Cellphones,ARG,3,"Physically holding a handset removes one hand from the controls, making accidents more likely, while dialling is even worse, as it also requires the user to divert their attention away from the road.",1,The use of cell-phones while driving is a public hazard.,support,YES,,,data\1.csv,1_164,255
1,165,Cellphones,ARG,4,"Research shows that drivers speaking on a mobile phone have much slower reactions in braking tests than non-users, and are worse even than if they have been drinking.",1,The use of cell-phones while driving is a public hazard.,support,YES,,,data\1.csv,1_165,222
1,166,Cellphones,ARG,5,"In Britain, a study a few years ago, using a driving simulator, found that motorists using hand-held phones took 30 per cent longer to react to hazards than motorists driving under the influence of alcohol and 50 per cent longer than drivers not under the influence.",4,"Research shows that drivers speaking on a mobile phone have much slower reactions in braking tests than non-users, and are worse even than if they have been drinking.",support,YES,,,data\1.csv,1_166,432
1,167,Cellphones,ARG,6,Even more dangerous than talking on the phone while driving is fumbling in a pocket or handbag for a ringing phone while travelling at 100kmh on the motorway.,1,The use of cell-phones while driving is a public hazard.,support,YES,,,data\1.csv,1_167,214
1,168,Cellphones,ARG,7,"A recent National Highway Traffic Safety Administration survey reports that 44 percent of drivers have a cell phone with them while driving, a number that will only increase with the proliferation of phone ownership. We calculated that car accidents associated with phone use account for about 300 deaths per year. While small in comparison to the 41,000 annual deaths from car accidents, these deaths raise the question whether cell phone use while driving is justifiable. We think a ban is unwise at this time because vehicular cell phone use provides substantial personal and societal benefits, but does not contribute to a large number of serious accidents.",3,"Physically holding a handset removes one hand from the controls, making accidents more likely, while dialling is even worse, as it also requires the user to divert their attention away from the road.",attack,NO,,,data\1.csv,1_168,860
1,169,Cellphones,ARG,8,Driving while using cellphones reduces safety margins. Those who assert they know the difference between safe and unsafe use of phones should ask themselves if they are equally confident that the testosterone-loaded 18-year-old rushing from football practice to meet his girlfriend will show the same good judgment when his phone beeps as he approaches in the opposite direction.,1,The use of cell-phones while driving is a public hazard.,support,YES,,,data\1.csv,1_169,435
1,170,Cellphones,ARG,9,"Regulation could negate the safety benefits of having a phone in the car. When you're stuck in traffic, calling to say you'll be late can reduce stress and make you less inclined to drive aggressively to make up lost time.",1,The use of cell-phones while driving is a public hazard.,attack,NO,,,data\1.csv,1_170,278
1,171,Cellphones,ARG,10,"If one is late, there is little difference in apologizing while in their car over a cell phone and apologizing in front of their boss at the office. So, they should have the restraint to drive at the speed limit, arriving late, and being willing to apologize then; an apologetic cell phone call in a car to a boss shouldn't be the cause of one being able to then relax, slow-down, and drive the speed-limit.",9,"Regulation could negate the safety benefits of having a phone in the car. When you're stuck in traffic, calling to say you'll be late can reduce stress and make you less inclined to drive aggressively to make up lost time.",attack,NO,,,data\1.csv,1_171,629
1,172,Cellphones,ARG,11,"Using mobiles on the road could improve safety, for example, by allowing delayed employees to ring in to the office rather than drive recklessly in an effort to arrive more promptly. Drivers now often use mobile phones to report accidents to the emergency services, and alert the police to dangerous driving, stray animals, unsafe loads, etc.",1,The use of cell-phones while driving is a public hazard.,attack,NO,,,data\1.csv,1_172,398
1,173,Marijuanafree,ARG,2,"Individuals should be free to use marijuana. If an individual wants to harm themselves, they should be free to do so.",1,Individuals should be at liberty to use marijuana.,support,YES,,,data\1.csv,1_173,167
1,174,Marijuanafree,ARG,3,"Even if marijuana's effects were isolated to the individual, there is room for the state to protect individuals from harming themselves. This is why it is illegal, in some places, not wear a seat belt. If marijuana's effects are seen as clearly harmful, the state can justly protect its citizens from it.",2,"Individuals should be free to use marijuana. If an individual wants to harm themselves, they should be free to do so.",attack,NO,,,data\1.csv,1_174,421
1,175,Marijuanafree,ARG,4,"People should be at liberty to treat their bodies how they want to. Indeed, people are allowed to eat and drink to their detriment and even death, so why shouldn't they be able to harm themselves with marijuana use? This is, of course, assuming that their use does not harm anyone else. This means, as with substances such as alcohol or cigarrettes, that regulations be put in place to ensure that one individual's consumption of marijuana does not violate the liberties of another citizen. If this is achievable with alcohol and cigarettes, it seems achievable with marijuana.",2,"Individuals should be free to use marijuana. If an individual wants to harm themselves, they should be free to do so.",support,YES,,,data\1.csv,1_175,694
1,176,Marijuanafree,ARG,5,"Marijuana induces different experiences in different individuals; some of these experiences are great, some are terrible and harmful. Individuals should be free to choose to use marijuana or not, depending on their relative experience.",1,Individuals should be at liberty to use marijuana.,support,YES,,,data\1.csv,1_176,285
1,177,Marijuanafree,ARG,6,"If marijuana is harmful, shouldn't individuals be at liberty to experience the punishment of a poor choice, and shouldn't this mean that marijuana use entails its own punishments that requires no imposed government punishment.",3,"Even if marijuana's effects were isolated to the individual, there is room for the state to protect individuals from harming themselves. This is why it is illegal, in some places, not wear a seat belt. If marijuana's effects are seen as clearly harmful, the state can justly protect its citizens from it.",attack,NO,,,data\1.csv,1_177,530
1,178,Marijuanafree,ARG,7,"Although cannabis does indeed have some harmful effects, it is no more harmful than legal substances like alcohol and tobacco. As a matter of fact, research by the British Medical Association shows that nicotine is far more addictive than cannabis. Furthermore, the consumption of alcohol and the smoking of cigarettes cause more deaths per year than does the use of cannabis. The legalization of cannabis will remove an anomaly in the law whereby substances that are more dangerous than cannabis are legal whilst the possession and use of cannabis remains unlawful.",1,Individuals should be at liberty to use marijuana.,support,YES,,,data\1.csv,1_178,616
1,179,Marijuanafree,ARG,8,Various risks to other citizens are greatly enhanced by marijuana use.,1,Individuals should be at liberty to use marijuana.,attack,NO,,,data\1.csv,1_179,120
1,180,Marijuanafree,ARG,9,Legalization of marijuana would make roads more dangerous.,8,Various risks to other citizens are greatly enhanced by marijuana use.,support,YES,,,data\1.csv,1_180,128
1,181,Marijuanafree,ARG,10,Some train and plane tragedies were connected with marijuana use.,8,Various risks to other citizens are greatly enhanced by marijuana use.,support,YES,,,data\1.csv,1_181,135
1,182,Marijuanafree,ARG,11,Legalization of marijuana would increase work-place accidents.,8,Various risks to other citizens are greatly enhanced by marijuana use.,support,YES,,,data\1.csv,1_182,132
1,183,Marijuanafree,ARG,12,"There are currently no widely-accepted and easily-administered tests available to detect whether someone's judgement or ability to function has been compromised by marijuana use. For those who drink and drive, we have the breathalyser. But there is no way for us to know whether the driver next to you on the road or the pilot flying a plane or someone operating heavy machinery is under the influence of marijuana. There is no way for us to know whether they pose a danger to lives of others.",8,Various risks to other citizens are greatly enhanced by marijuana use.,support,YES,,,data\1.csv,1_183,563
1,184,Marijuanafree,ARG,13,"Instances of brutal violence and murder have been cited as caused, to some extent, by marijuana use and impaired judgement.",8,Various risks to other citizens are greatly enhanced by marijuana use.,support,YES,,,data\1.csv,1_184,193
