t/_id,t/__text,h/_id,h/__text,_task,_id,_topic,_entailment,h/_iid
12,"Files on one tablet can be downloaded onto any other tablet, increasing flexibility and convenience for teachers and students.",7,Using tablets is more expensive than using print textbooks.,ARG,11,Tablet,NONENTAILMENT,
13,"Print textbooks are heavy and cause injuries, while a tablet only weighs 1-2 pounds.",1,Tablets should replace textbooks in schools.,ARG,12,Tablet,ENTAILMENT,
14,"Print textbooks cannot crash, freeze, or get hacked. Unlike tablets, there is no chance of getting malware, spyware, or having personal information stolen from a print textbook.",1,Tablets should replace textbooks in schools.,ARG,13,Tablet,NONENTAILMENT,
15,"On a tablet, e-textbooks can be updated instantly to get new editions or information. Schools will not have to constantly purchase new hardware, software, or new physical copies of textbooks.",1,Tablets should replace textbooks in schools.,ARG,14,Tablet,ENTAILMENT,
16,"Many textbooks are not available in digital format or on the specific tablet used by a school. As of 2012, only 30% of textbook titles are available electronically.",15,"On a tablet, e-textbooks can be updated instantly to get new editions or information. Schools will not have to constantly purchase new hardware, software, or new physical copies of textbooks.",ARG,15,Tablet,NONENTAILMENT,
17,Many students do not have sufficient home internet bandwidth to use tablets.,1,Tablets should replace textbooks in schools.,ARG,16,Tablet,NONENTAILMENT,
18,"The higher cost of tablets marginalizes poorer school districts and increases the ""digital divide.""",1,Tablets should replace textbooks in schools.,ARG,17,Tablet,NONENTAILMENT,
19,"Students ""need home broadband to access digital content and to complete Internet based homework,"" according to FCC Chairman Julius Genachowski and Secretary of Education Arne Duncan, but about a third of Americans – 100 million people – do not have broadband internet at home.",17,Many students do not have sufficient home internet bandwidth to use tablets.,ARG,18,Tablet,ENTAILMENT,
20,"Rich school districts can afford to implement e-textbooks on tablets, while poor school districts cannot. Low income schools are less likely to implement an e-textbook program than to pay for teachers or basic classroom supplies.",18,"The higher cost of tablets marginalizes poorer school districts and increases the ""digital divide.""",ARG,19,Tablet,ENTAILMENT,
21,Tablets help students better prepare for a world immersed in technology.,1,Tablets should replace textbooks in schools.,ARG,20,Tablet,ENTAILMENT,
22,"Students that learn technology skills early in life will be better prepared to pursue relevant careers later in life. The fastest growing and highest paying jobs in the United States are technology intensive. Employment in ""computer and information systems"" is expected to grow by 18% between 2010-20, according to the US Bureau of Labor Statistics.",21,Tablets help students better prepare for a world immersed in technology.,ARG,21,Tablet,ENTAILMENT,
2,"Obesity, like other diseases, impairs the normal functioning of a body. People who are obese have excess adipose (or fat) tissue that causes the overproduction of certain molecules and mediators in the body, which lead to abnormal regulation of food intake and energy expenditure.",1,Obesity is a disease.,ARG,22,Obesity,ENTAILMENT,
3,Obesity does not necessarily impair the normal functioning of a body as other diseases do. Many people with a BMI in the obesity range are not physically impaired and live normal lives.,2,"Obesity, like other diseases, impairs the normal functioning of a body. People who are obese have excess adipose (or fat) tissue that causes the overproduction of certain molecules and mediators in the body, which lead to abnormal regulation of food intake and energy expenditure.",ARG,23,Obesity,NONENTAILMENT,
4,"Obesity decreases a person's life expectancy or can cause death, like other diseases.",1,Obesity is a disease.,ARG,24,Obesity,ENTAILMENT,
5,"Obesity in adults can lead to three years loss of life. Extreme obesity can shorten a person's life span by 10 years--comparable to the decrease in years of life from smoking, or from other diseases.",4,"Obesity decreases a person's life expectancy or can cause death, like other diseases.",ARG,25,Obesity,ENTAILMENT,
6,"Unlike other diseases that lead to shortened life expectancy or death, some obese people live long lives and do not develop diseases commonly associated with obesity, such as diabetes.",4,"Obesity decreases a person's life expectancy or can cause death, like other diseases.",ARG,26,Obesity,NONENTAILMENT,
7,Obesity is a matter of personal responsibility. People become obese because they make bad dietary decisions and do not exercise enough or at all.,1,Obesity is a disease.,ARG,27,Obesity,NONENTAILMENT,
8,"Some studies have shown that the hereditability of obesity is about the same as that of height. Therefore obesity is not the result of people lacking willpower to exercise or eat less, but is genetically predetermined.",7,Obesity is a matter of personal responsibility. People become obese because they make bad dietary decisions and do not exercise enough or at all.,ARG,28,Obesity,NONENTAILMENT,
9,"Obesity is the result of sedentary lifestyles and bad dietary decisions, and not illness. For example, compared to 40 years ago, people today spend more time commuting, sitting in front of a computer, watching television, playing video games, and generally exercising less.",7,Obesity is a matter of personal responsibility. People become obese because they make bad dietary decisions and do not exercise enough or at all.,ARG,29,Obesity,ENTAILMENT,
10,"Obesity is a risk factor for diabetes, hypertension, some cancers, and other diseases. Other risk factors are also defined as diseases, such as hypertension which is defined as a disease because it is a risk factor for heart failure and stroke.",6,"Unlike other diseases that lead to shortened life expectancy or death, some obese people live long lives and do not develop diseases commonly associated with obesity, such as diabetes.",ARG,30,Obesity,NONENTAILMENT,
11,"Obesity is a preventable risk factor for other diseases, like smoking is a preventable risk factor for lung cancer or like drinking is a preventable risk factor for alcoholism.",10,"Obesity is a risk factor for diabetes, hypertension, some cancers, and other diseases. Other risk factors are also defined as diseases, such as hypertension which is defined as a disease because it is a risk factor for heart failure and stroke.",ARG,31,Obesity,NONENTAILMENT,
12,"Obesity can, in some cases, have positive health benefits such as increasing bone mass and reducing the risk of osteoporosis.",4,"Obesity decreases a person's life expectancy or can cause death, like other diseases.",ARG,32,Obesity,NONENTAILMENT,
13,"Diseases have characteristic signs, according to general and medical dictionaries. Obesity has a characteristic sign--excess fat--which is measured by BMI or increased waist circumference measures.",1,Obesity is a disease.,ARG,33,Obesity,ENTAILMENT,
14,"Obesity does not have characteristic signs or symptoms like diseases typically have. The only characteristic sign of obesity is excess fat, which is the definition of obesity itself. There are also no symptoms for obesity.",13,"Diseases have characteristic signs, according to general and medical dictionaries. Obesity has a characteristic sign--excess fat--which is measured by BMI or increased waist circumference measures.",ARG,34,Obesity,NONENTAILMENT,
15,"Government entities including the Food and Drug Administration (FDA), National Institutes of Health (NIH), and Internal Revenue Service (IRS) have affirmed that obesity is a disease.",1,Obesity is a disease.,ARG,35,Obesity,ENTAILMENT,
16,Obesity is not just a recent phenomenon resulting from the modern environment. Physicians from as early as the 17th century have referenced obesity as a disease.,1,Obesity is a disease.,ARG,36,Obesity,ENTAILMENT,
2,"A woman's right to choose abortion is a ""fundamental right"" recognized by the US Supreme Court.",1,Abortion should be legal.,ARG,37,Abortion,ENTAILMENT,
3,"Unborn babies are human beings from the moment of conception. They have a fundamental right to life, which must be protected.",1,Abortion should be legal.,ARG,38,Abortion,NONENTAILMENT,
4,"Personhood begins at birth, not at conception. Abortion is the termination of a pregnancy, not a baby. Personhood at conception is not a proven biological fact.",3,"Unborn babies are human beings from the moment of conception. They have a fundamental right to life, which must be protected.",ARG,39,Abortion,NONENTAILMENT,
5,Fetuses feel pain during the abortion procedure.,1,Abortion should be legal.,ARG,40,Abortion,NONENTAILMENT,
6,"According to Kanwaljeet J. S. Anand, MBBS, DPhil, Professor of Pediatrics, Anesthesiology and Neurobiology at the University of Tennessee Health Science Center, ""If the fetus is beyond 20 weeks of gestation, I would assume that there will be pain caused to the fetus. And I believe it will be severe and excruciating pain.""",5,Fetuses feel pain during the abortion procedure.,ARG,41,Abortion,ENTAILMENT,
7,Fetuses are incapable of feeling pain when an abortion is performed.,5,Fetuses feel pain during the abortion procedure.,ARG,42,Abortion,NONENTAILMENT,
8,"According to Stuart W. G. Derbyshire, PhD, Senior Lecturer at the University of Birmingham (England), ""[n]ot only has the biological development not yet occurred to support pain experience, but the environment after birth, so necessary to the development of pain experience, is also yet to occur.""",7,Fetuses are incapable of feeling pain when an abortion is performed.,ARG,43,Abortion,ENTAILMENT,
9,"Abortion involves killing a human being, which defies a commandment from God. The Sixth Commandment of the Bible's Old Testament (Exodus 20:13) is ""Thou shalt not kill.""",1,Abortion should be legal.,ARG,44,Abortion,NONENTAILMENT,
10,The anti-abortion position is usually based on religious beliefs and threatens the vital separation of church and state. Religious ideology should not be a foundation for law in the United States.,9,"Abortion involves killing a human being, which defies a commandment from God. The Sixth Commandment of the Bible's Old Testament (Exodus 20:13) is ""Thou shalt not kill.""",ARG,45,Abortion,NONENTAILMENT,
11,Abortion gives couples the option to choose not to bring babies with severe and life-threatening medical conditions to full term.,1,Abortion should be legal.,ARG,46,Abortion,ENTAILMENT,
12,Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,11,Abortion gives couples the option to choose not to bring babies with severe and life-threatening medical conditions to full term.,ARG,47,Abortion,NONENTAILMENT,
13,Physical limitations don't make those with disabilities less than human. The Americans with Disabilities Act of 1990 provides civil rights protection to people born with disabilities so they can lead fulfilling lives.,12,Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,ARG,48,Abortion,ENTAILMENT,
14,A baby should not come into the world unwanted.,1,Abortion should be legal.,ARG,49,Abortion,ENTAILMENT,
15,"Motherhood must never be a punishment for having sexual intercourse. President Barack Obama said during a Mar. 29, 2008 campaign speech in Johnston, Pennsylvania, ""I have two daughters... I'm going to teach them first about values and morals, but if they make a mistake, I don't want them punished with a baby.""",14,A baby should not come into the world unwanted.,ARG,50,Abortion,ENTAILMENT,
16,"Women should use contraceptives, not abortion, to avoid unwanted pregnancies. A Centers for Disease Control and Prevention (CDC) study showed that 19-25% of women who received abortions in 2006 had previously had one or more abortions.  If abortion were not available, women would use preventative measures.",,"Motherhood must never be a punishment for having sexual intercourse. President Barack Obama said during a Mar. 29, 2008 campaign speech in Johnston, Pennsylvania, ""I have two daughters... I'm going to teach them first about values and morals, but if they make a mistake, I don't want them punished with a baby.""",ARG,51,Abortion,NONENTAILMENT,15
17,Abortion increases the likelihood that women will develop breast cancer.,1,Abortion should be legal.,ARG,52,Abortion,NONENTAILMENT,
18,"In early pregnancy, levels of estrogen increase, leading to breast growth in preparation for breastfeeding. When a pregnancy is interrupted by abortion, immature cells are left in the woman's breasts, increasing the potential risk of breast cancer.",17,Abortion increases the likelihood that women will develop breast cancer.,ARG,53,Abortion,ENTAILMENT,
19,"Access to abortion is necessary because contraceptives are not always readily available. Women need a doctor's prescription to obtain many birth control methods, such as the pill, the patch, the shot, and the diaphragm. About half of all large group insurance plans do not cover any form of prescription contraception, and only a third cover the birth control pill.",16,"Women should use contraceptives, not abortion, to avoid unwanted pregnancies. A Centers for Disease Control and Prevention (CDC) study showed that 19-25% of women who received abortions in 2006 had previously had one or more abortions.  If abortion were not available, women would use preventative measures.",ARG,54,Abortion,NONENTAILMENT,
20,"An association between abortion and breast cancer is unsubstantiated. The National Cancer Institute (NCI), the American Cancer Society (ACS), and the American College of Obstetricians and Gynecologists (ACOG) have all refuted the reliability of studies claiming abortion can lead to a higher probability of developing breast cancer.",17,Abortion increases the likelihood that women will develop breast cancer.,ARG,55,Abortion,NONENTAILMENT,
21,"Access to legal, professionally-performed abortions reduces injury and death caused by unsafe, illegal abortions.",1,Abortion should be legal.,ARG,56,Abortion,ENTAILMENT,
22,"Abortion reduces crime. Some estimates claim legalized abortion accounted for as much as 50% of the drop in murder, property crime, and violent crime between 1973 and 2001. Teenage girls, unmarried women, and poor women are more likely to have unintended pregnancies, and since unwanted babies are often raised in poverty, their chances of leading criminal lives in adulthood are increased.",1,Abortion should be legal.,ARG,57,Abortion,ENTAILMENT,
23,"The 2001 claim by Freakonomics author Steven Levitt that abortion reduces crime is flawed. Economists at the Federal Reserve Bank of Boston found coding errors in Levitt’s research. Levitt later apologized and said on Nov. 28, 2005 that he was ""personally embarrassed"" about his errors.",22,"Abortion reduces crime. Some estimates claim legalized abortion accounted for as much as 50% of the drop in murder, property crime, and violent crime between 1973 and 2001. Teenage girls, unmarried women, and poor women are more likely to have unintended pregnancies, and since unwanted babies are often raised in poverty, their chances of leading criminal lives in adulthood are increased.",ARG,58,Abortion,NONENTAILMENT,
24,"Abortion is an effective tool for population control. Malnutrition, starvation, poverty, lack of medical and educational services, pollution, underdevelopment, and conflict over resources are all consequences of overpopulation",1,Abortion should be legal.,ARG,59,Abortion,ENTAILMENT,
25,"Many women who choose abortion don't have the financial resources to support a child. A Sep. 2005 survey in the peer-reviewed journal Perspectives on Sexual and Reproductive Health asking women why they had an abortion found that 73% of respondents said they could not afford to have a baby, and 38% said giving birth would interfere with their education and career goals. Reproductive choice protects women from financial disadvantage.",1,Abortion should be legal.,ARG,60,Abortion,ENTAILMENT,
