t/0/_id,t/0/__text,h/_id,h/__text,_task,_id,_topic,_complex-attack,_argument,_entailment,t/1/_id,t/1/__text,_aargument
16,"F.B.I. data shows that youth violence continues to decline. It is now at its lowest rate in years. Violent video games, therefore, can hardly be seen as a major problem since they've been around for years.",15,"Justice Breyer: ""Unlike the majority. I would find sufficient grounds in these studies and expert opinions for this court to defer to an elected legislature's conclusion that violent video games are particularly likely to harm children.""",ARG,19,Violentgames,mediated,unrelated,,,,
10,"TV violence is more harmful than violent video games. The New York Times. June 27, 2011: ""there is much better evidence to support psychological harm from exposure to violence on TV news.""",7,"In experimental studies, children who view violent television shows or films — or who play violent video games — are significantly more likely to behave aggressively in comparison to children who view nonviolent television shows or films, or who play nonviolent video games. In long-term studies, individuals who consume violent media during childhood end up more aggressive as adults, in comparison with peers who consume nonviolent media during childhood.",ARG,20,Violentgames,mediated,unrelated,,,,
10,"TV violence is more harmful than violent video games. The New York Times. June 27, 2011: ""there is much better evidence to support psychological harm from exposure to violence on TV news.""",13,"Research studies have yielded the conclusion that the effect of violent media consumption on aggressive behavior is in the same ballpark statistically as the effect of smoking on lung cancer, the effect of lead exposure on children's intellectual development and the effect of asbestos on laryngeal cancer.",ARG,21,Violentgames,mediated,unrelated,,,,
10,"TV violence is more harmful than violent video games. The New York Times. June 27, 2011: ""there is much better evidence to support psychological harm from exposure to violence on TV news.""",12,Violent video games are real danger to young minds.,ARG,22,Violentgames,mediated,attack,,,,
10,"TV violence is more harmful than violent video games. The New York Times. June 27, 2011: ""there is much better evidence to support psychological harm from exposure to violence on TV news.""",5,"""A few years ago, on Long Island, six teenagers were arrested after a crime spree involving breakins, a violent mugging and a carjacking attempt. According to what the teens told authorities, they had been trying to live out the life of Niko Belic. Ever heard of him? He is the protagonist in the wildly popular video game 'Grand Theft Auto IV.' What the teens did represents one of the worst-case scenarios imagined by those who advocate for government to limit the sale of violent video games to minors.",ARG,23,Violentgames,mediated,attack,,,,
2,Violent video games do not increase aggression.,7,"In experimental studies, children who view violent television shows or films — or who play violent video games — are significantly more likely to behave aggressively in comparison to children who view nonviolent television shows or films, or who play nonviolent video games. In long-term studies, individuals who consume violent media during childhood end up more aggressive as adults, in comparison with peers who consume nonviolent media during childhood.",ARG,24,Violentgames,mediated,attack,contradiction,,,
2,Violent video games do not increase aggression.,13,"Research studies have yielded the conclusion that the effect of violent media consumption on aggressive behavior is in the same ballpark statistically as the effect of smoking on lung cancer, the effect of lead exposure on children's intellectual development and the effect of asbestos on laryngeal cancer.",ARG,25,Violentgames,mediated,attack,contradiction,,,
2,Violent video games do not increase aggression.,12,Violent video games are real danger to young minds.,ARG,26,Violentgames,mediated,unrelated,,,,
2,Violent video games do not increase aggression.,5,"""A few years ago, on Long Island, six teenagers were arrested after a crime spree involving breakins, a violent mugging and a carjacking attempt. According to what the teens told authorities, they had been trying to live out the life of Niko Belic. Ever heard of him? He is the protagonist in the wildly popular video game 'Grand Theft Auto IV.' What the teens did represents one of the worst-case scenarios imagined by those who advocate for government to limit the sale of violent video games to minors.",ARG,27,Violentgames,mediated,attack,,,,
11,"Games help develop youths' minds, skills, confidence. Such games (in moderation) may actually have some positive effects on developing minds.",7,"In experimental studies, children who view violent television shows or films — or who play violent video games — are significantly more likely to behave aggressively in comparison to children who view nonviolent television shows or films, or who play nonviolent video games. In long-term studies, individuals who consume violent media during childhood end up more aggressive as adults, in comparison with peers who consume nonviolent media during childhood.",ARG,28,Violentgames,mediated,attack,,,,
11,"Games help develop youths' minds, skills, confidence. Such games (in moderation) may actually have some positive effects on developing minds.",13,"Research studies have yielded the conclusion that the effect of violent media consumption on aggressive behavior is in the same ballpark statistically as the effect of smoking on lung cancer, the effect of lead exposure on children's intellectual development and the effect of asbestos on laryngeal cancer.",ARG,29,Violentgames,mediated,attack,contradiction,,,
11,"Games help develop youths' minds, skills, confidence. Such games (in moderation) may actually have some positive effects on developing minds.",12,Violent video games are real danger to young minds.,ARG,30,Violentgames,mediated,attack,contradiction,,,
11,"Games help develop youths' minds, skills, confidence. Such games (in moderation) may actually have some positive effects on developing minds.",5,"""A few years ago, on Long Island, six teenagers were arrested after a crime spree involving breakins, a violent mugging and a carjacking attempt. According to what the teens told authorities, they had been trying to live out the life of Niko Belic. Ever heard of him? He is the protagonist in the wildly popular video game 'Grand Theft Auto IV.' What the teens did represents one of the worst-case scenarios imagined by those who advocate for government to limit the sale of violent video games to minors.",ARG,31,Violentgames,mediated,unrelated,,,,
14,Psychological studies purporting to show a connection between exposure to violent video games and harmful effects on children do not prove that such exposure causes minors to act aggressively. Any demonstrated effects are both small and indistinguishable from effects pro-duced by other media.,7,"In experimental studies, children who view violent television shows or films — or who play violent video games — are significantly more likely to behave aggressively in comparison to children who view nonviolent television shows or films, or who play nonviolent video games. In long-term studies, individuals who consume violent media during childhood end up more aggressive as adults, in comparison with peers who consume nonviolent media during childhood.",ARG,32,Violentgames,mediated,attack,contradiction,,,
14,Psychological studies purporting to show a connection between exposure to violent video games and harmful effects on children do not prove that such exposure causes minors to act aggressively. Any demonstrated effects are both small and indistinguishable from effects pro-duced by other media.,13,"Research studies have yielded the conclusion that the effect of violent media consumption on aggressive behavior is in the same ballpark statistically as the effect of smoking on lung cancer, the effect of lead exposure on children's intellectual development and the effect of asbestos on laryngeal cancer.",ARG,33,Violentgames,mediated,attack,contradiction,,,
14,Psychological studies purporting to show a connection between exposure to violent video games and harmful effects on children do not prove that such exposure causes minors to act aggressively. Any demonstrated effects are both small and indistinguishable from effects pro-duced by other media.,12,Violent video games are real danger to young minds.,ARG,34,Violentgames,mediated,attack,,,,
14,Psychological studies purporting to show a connection between exposure to violent video games and harmful effects on children do not prove that such exposure causes minors to act aggressively. Any demonstrated effects are both small and indistinguishable from effects pro-duced by other media.,5,"""A few years ago, on Long Island, six teenagers were arrested after a crime spree involving breakins, a violent mugging and a carjacking attempt. According to what the teens told authorities, they had been trying to live out the life of Niko Belic. Ever heard of him? He is the protagonist in the wildly popular video game 'Grand Theft Auto IV.' What the teens did represents one of the worst-case scenarios imagined by those who advocate for government to limit the sale of violent video games to minors.",ARG,35,Violentgames,mediated,attack,,,,
16,"F.B.I. data shows that youth violence continues to decline. It is now at its lowest rate in years. Violent video games, therefore, can hardly be seen as a major problem since they've been around for years.",7,"In experimental studies, children who view violent television shows or films — or who play violent video games — are significantly more likely to behave aggressively in comparison to children who view nonviolent television shows or films, or who play nonviolent video games. In long-term studies, individuals who consume violent media during childhood end up more aggressive as adults, in comparison with peers who consume nonviolent media during childhood.",ARG,36,Violentgames,mediated,unrelated,,,,
16,"F.B.I. data shows that youth violence continues to decline. It is now at its lowest rate in years. Violent video games, therefore, can hardly be seen as a major problem since they've been around for years.",13,"Research studies have yielded the conclusion that the effect of violent media consumption on aggressive behavior is in the same ballpark statistically as the effect of smoking on lung cancer, the effect of lead exposure on children's intellectual development and the effect of asbestos on laryngeal cancer.",ARG,37,Violentgames,mediated,attack,,,,
16,"F.B.I. data shows that youth violence continues to decline. It is now at its lowest rate in years. Violent video games, therefore, can hardly be seen as a major problem since they've been around for years.",12,Violent video games are real danger to young minds.,ARG,38,Violentgames,mediated,unrelated,,,,
16,"F.B.I. data shows that youth violence continues to decline. It is now at its lowest rate in years. Violent video games, therefore, can hardly be seen as a major problem since they've been around for years.",5,"""A few years ago, on Long Island, six teenagers were arrested after a crime spree involving breakins, a violent mugging and a carjacking attempt. According to what the teens told authorities, they had been trying to live out the life of Niko Belic. Ever heard of him? He is the protagonist in the wildly popular video game 'Grand Theft Auto IV.' What the teens did represents one of the worst-case scenarios imagined by those who advocate for government to limit the sale of violent video games to minors.",ARG,39,Violentgames,mediated,attack,,,,
8,"""One child"" is only partly responsible for reducing China's fertility rates. The most dramatic decrease in the rate actually occurred before the policy was imposed. Between 1970 and 1979, the largely voluntary ""late, long, few"" policy, which called for later childbearing, greater spacing between children, and fewer children, had already resulted in a halving of the total fertility rate, from 5.9 to 2.9. After the one-child policy was introduced, there was a more gradual fall in the rate until 1995, and it has more or less stabilized at approximately 1.7 since then.",4,"China would have far too many children if not for ""one child"". China estimates that it has three to four hundred million fewer people today with the one child policy than it would have had otherwise.",ARG,40,Chinaonechildpolicy,mediated,attack,,,,
8,"""One child"" is only partly responsible for reducing China's fertility rates. The most dramatic decrease in the rate actually occurred before the policy was imposed. Between 1970 and 1979, the largely voluntary ""late, long, few"" policy, which called for later childbearing, greater spacing between children, and fewer children, had already resulted in a halving of the total fertility rate, from 5.9 to 2.9. After the one-child policy was introduced, there was a more gradual fall in the rate until 1995, and it has more or less stabilized at approximately 1.7 since then.",7,"Ending China's ""one-child"" policy would cause a population spike. Today the fertility level in China is around 1.7 children per woman. if China were to relax its one-child policy, then it's reasonable to expect that fertility would rise. If fertility increased to replacement level of 2.1 (an increase of just under a half a child), which is not unreasonable given desired family size, the country's annual number of births would increase by nearly 30 percent, or approximately five million additional births. By midcentury, this would add up to nearly a quarter-billion more Chinese than currently projected by the U.N.",ARG,41,Chinaonechildpolicy,mediated,attack,,,,
8,"""One child"" is only partly responsible for reducing China's fertility rates. The most dramatic decrease in the rate actually occurred before the policy was imposed. Between 1970 and 1979, the largely voluntary ""late, long, few"" policy, which called for later childbearing, greater spacing between children, and fewer children, had already resulted in a halving of the total fertility rate, from 5.9 to 2.9. After the one-child policy was introduced, there was a more gradual fall in the rate until 1995, and it has more or less stabilized at approximately 1.7 since then.",10,"""One child"" changed tradition that more children is better. Professor Wang says China's family planning policies since 1978 have helped reduce the fertility rate further and contributed to a change in attitudes. ""A lot of people simply don't want that many children. People have accepted the policy,"" he says.",ARG,42,Chinaonechildpolicy,mediated,attack,,,,
8,"""One child"" is only partly responsible for reducing China's fertility rates. The most dramatic decrease in the rate actually occurred before the policy was imposed. Between 1970 and 1979, the largely voluntary ""late, long, few"" policy, which called for later childbearing, greater spacing between children, and fewer children, had already resulted in a halving of the total fertility rate, from 5.9 to 2.9. After the one-child policy was introduced, there was a more gradual fall in the rate until 1995, and it has more or less stabilized at approximately 1.7 since then.",2,"China's ""one child"" policy is key to stabilizing global population growth. With 1.3 billion people, a fifth of the world's population, China must be a major part of the solution to the global population crisis.",ARG,43,Chinaonechildpolicy,mediated,attack,contradiction,,,
8,"""One child"" is only partly responsible for reducing China's fertility rates. The most dramatic decrease in the rate actually occurred before the policy was imposed. Between 1970 and 1979, the largely voluntary ""late, long, few"" policy, which called for later childbearing, greater spacing between children, and fewer children, had already resulted in a halving of the total fertility rate, from 5.9 to 2.9. After the one-child policy was introduced, there was a more gradual fall in the rate until 1995, and it has more or less stabilized at approximately 1.7 since then.",3,China is home to more than one-fifth of the world's population. It thoroughly understands the responsibility it bears in stabilizing world population growth and the essential role it should play. Family planning as an effective solution to China's population problems is more than just responsibility towards the well-being of the Chinese people and future generations; it is a duty owed to maintaining the stability of the world population.,ARG,44,Chinaonechildpolicy,mediated,attack,,,,
8,"""One child"" is only partly responsible for reducing China's fertility rates. The most dramatic decrease in the rate actually occurred before the policy was imposed. Between 1970 and 1979, the largely voluntary ""late, long, few"" policy, which called for later childbearing, greater spacing between children, and fewer children, had already resulted in a halving of the total fertility rate, from 5.9 to 2.9. After the one-child policy was introduced, there was a more gradual fall in the rate until 1995, and it has more or less stabilized at approximately 1.7 since then.",9,"China one-child forestalls problems associated with overpopulation. The reduction in fertility rate and thus population size reduced the severity of problems that come with overpopulation, like epidemics, slums, overwhelmed social services (health, education, law enforcement, and more), and strain on the ecosystem from abuse of fertile land and production of high volumes of waste.",ARG,45,Chinaonechildpolicy,mediated,unrelated,,,,
6,"Component parts of other drugs aren't banned. The raw component parts of other drugs like meth are not banned. These components are a variety of household cleaning compounds. Similarly, it is wrong to ban coca because it can be turned into cocaine.",15,"Cocaine is most produced where coca is legal. Wherever coca is legally produced, cocaine production thrives with greater success. The correlation is very clear. In Bolivia, coca eradication efforts in the 1980s and 90s helped reduce cocaine production. As Evo Morales took power and legalized coca production and consumption, however, cocaine production has shot up. This is despite his efforts to fight cocaine production. The bottom line is that legalizing coca makes it easier for cocaine producers to operate. This correlation cannot be ignored.",ARG,46,Cocanarcotic,mediated,attack,,,,
3,"Coca in its natural state is not a narcotic. What is absurd about the 1961 convention is that it considers the coca leaf in its natural, unaltered state to be a narcotic. The paste or the concentrate that is extracted from the coca leaf, commonly known as cocaine, is indeed a narcotic, but the plant itself is not.",5,"Coca cannot be disassociated with cocaine. The active ingredient in coca leaf is the same as in cocaine. It's just more concentrated in cocaine. Because the raw material of coca and its more potent relative cocaine are so closely aligned, it is impossible to disassociate the two. If one hopes to consider cocaine a narcotic and stop its spread, they must also forbid coca.",ARG,47,Cocanarcotic,mediated,attack,contradiction,,,
4,Coca is not cocaine. Coca is distinct from cocaine. Coca is a natural leaf with very mild effects when chewed. Cocaine is a highly processed and concentrated drug using derivatives from coca.,2,"In 1992 the World Health Organization's Expert Committee on Drug Dependence (ECDD) undertook a 'prereview' of coca leaf at its 28th meeting. The 28th ECDD report concluded that, ""the coca leaf is appropriately scheduled as a narcotic under the Single Convention on Narcotic Drugs, 1961, since cocaine is readily extractable from the leaf."" This ease of extraction makes coca and cocaine inextricably linked. Therefore, because cocaine is defined as a narcotic, coca must also be defined in this way.",ARG,48,Cocanarcotic,mediated,attack,contradiction,,,
7,Coca has no negative health effects.,5,"Coca cannot be disassociated with cocaine. The active ingredient in coca leaf is the same as in cocaine. It's just more concentrated in cocaine. Because the raw material of coca and its more potent relative cocaine are so closely aligned, it is impossible to disassociate the two. If one hopes to consider cocaine a narcotic and stop its spread, they must also forbid coca.",ARG,49,Cocanarcotic,mediated,unrelated,,,,
7,Coca has no negative health effects.,2,"In 1992 the World Health Organization's Expert Committee on Drug Dependence (ECDD) undertook a 'prereview' of coca leaf at its 28th meeting. The 28th ECDD report concluded that, ""the coca leaf is appropriately scheduled as a narcotic under the Single Convention on Narcotic Drugs, 1961, since cocaine is readily extractable from the leaf."" This ease of extraction makes coca and cocaine inextricably linked. Therefore, because cocaine is defined as a narcotic, coca must also be defined in this way.",ARG,50,Cocanarcotic,mediated,unrelated,,,,
7,Coca has no negative health effects.,15,"Cocaine is most produced where coca is legal. Wherever coca is legally produced, cocaine production thrives with greater success. The correlation is very clear. In Bolivia, coca eradication efforts in the 1980s and 90s helped reduce cocaine production. As Evo Morales took power and legalized coca production and consumption, however, cocaine production has shot up. This is despite his efforts to fight cocaine production. The bottom line is that legalizing coca makes it easier for cocaine producers to operate. This correlation cannot be ignored.",ARG,51,Cocanarcotic,mediated,unrelated,,,,
7,Coca has no negative health effects.,14,"Coca is not like caffeine/nicotine due to alternative use. Again, coca is unique from other substances like caffeine or nicotine in its capacity to be diverted to highly potent, dangerous, and damaging use in cocaine, and this would justify its classification as a narcotic.",ARG,52,Cocanarcotic,mediated,attack,,,,
11,"Coca chewing is bad for human health. The decision to ban coca chewing fifty years ago was based on a 1950 report elaborated by the UN Commission of Inquiry on the Coca Leaf with a mandate from ECOSOC: ""We believe that the daily, inveterate use of coca leaves by chewing is thoroughly noxious and therefore detrimental"".",12,"Coca chewing can help relieve hunger, fight obesity. Because coca helps suppress one's appetite, it is also a means of combating overeating and obesity.",ARG,53,Cocanarcotic,mediated,attack,,,,
11,"Coca chewing is bad for human health. The decision to ban coca chewing fifty years ago was based on a 1950 report elaborated by the UN Commission of Inquiry on the Coca Leaf with a mandate from ECOSOC: ""We believe that the daily, inveterate use of coca leaves by chewing is thoroughly noxious and therefore detrimental"".",,,ARG,54,Cocanarcotic,mediated,attack,contradiction,8,"The World Health Organization found in 1995 that the use of coca leaves appears to have no negative health effects and has positive therapeutic, sacred and social functions for indigenous Andean populations.",
11,"Coca chewing is bad for human health. The decision to ban coca chewing fifty years ago was based on a 1950 report elaborated by the UN Commission of Inquiry on the Coca Leaf with a mandate from ECOSOC: ""We believe that the daily, inveterate use of coca leaves by chewing is thoroughly noxious and therefore detrimental"".",,,ARG,55,Cocanarcotic,mediated,attack,,10,"Chewing coca has therapeutic value for various ailments. Chewed or consumed as tea, coca counters altitude sickness, aids digestion and quells hunger and fatigue.",
11,"Coca chewing is bad for human health. The decision to ban coca chewing fifty years ago was based on a 1950 report elaborated by the UN Commission of Inquiry on the Coca Leaf with a mandate from ECOSOC: ""We believe that the daily, inveterate use of coca leaves by chewing is thoroughly noxious and therefore detrimental"".",,,ARG,56,Cocanarcotic,mediated,attack,contradiction,13,"Unlike nicotine or caffeine, coca chewing causes no harm to human health nor addiction or altered state, and it is effective in the struggle against obesity, a major problem in many modern societies.",
11,"Coca chewing is bad for human health. The decision to ban coca chewing fifty years ago was based on a 1950 report elaborated by the UN Commission of Inquiry on the Coca Leaf with a mandate from ECOSOC: ""We believe that the daily, inveterate use of coca leaves by chewing is thoroughly noxious and therefore detrimental"".",9,Chewing coca offers an energy boost. Coca provides an energy boost for working or for combating fatigue and cold.,ARG,57,Cocanarcotic,mediated,attack,,,,
2,"Beauty pageants teach kids to be their very best. The promoters of Australia's first Universal Royalty Beauty Pagean defended the practice saying that it taught the lesson of ""striving to be your very best"".",4,"Claiming, let alone believing, an arena where very young children are primped like mini-adults and pitted against each other in a bid to decide who's the prettiest is good for confidence or self-esteem, is to dwell in a fool's paradise.",ARG,58,Childbeautycontests,mediated,attack,,,,
2,"Beauty pageants teach kids to be their very best. The promoters of Australia's first Universal Royalty Beauty Pagean defended the practice saying that it taught the lesson of ""striving to be your very best"".",5,"Beauty pageants foster destructive perfectionism, self-criticism. William Pinsof, a clinical psychologist and president of the Family Institute at Northwestern University: ""Being a little Barbie doll says your body has to be a certain way and your hair has to be a certain way. In girls particularly, this can unleash a whole complex of destructive self-experiences that can lead to eating disorders and all kinds of body distortions in terms of body image"".",ARG,59,Childbeautycontests,mediated,attack,,,,
6,"Child beauty pageants judge whole person. Some of the criteria considered in judging a pageant are writing skills, interviews, personality, looks, confidence and talent, depending on the specific competition.",5,"Beauty pageants foster destructive perfectionism, self-criticism. William Pinsof, a clinical psychologist and president of the Family Institute at Northwestern University: ""Being a little Barbie doll says your body has to be a certain way and your hair has to be a certain way. In girls particularly, this can unleash a whole complex of destructive self-experiences that can lead to eating disorders and all kinds of body distortions in terms of body image"".",ARG,60,Childbeautycontests,mediated,unrelated,,,,
8,"Pageants teach that self-worth is in physical beauty only. Melinda Tankard-Reist, one of the founders of Collective Shout: ""Competing in these events very young children are taught very early that their only value comes from their appearance and the way they look. This in turn leads to emotional problems, eating disorders and a distorted sense of self worth and self esteem"".",2,"Beauty pageants teach kids to be their very best. The promoters of Australia's first Universal Royalty Beauty Pagean defended the practice saying that it taught the lesson of ""striving to be your very best"".",ARG,61,Childbeautycontests,mediated,attack,contradiction,,,
8,"Pageants teach that self-worth is in physical beauty only. Melinda Tankard-Reist, one of the founders of Collective Shout: ""Competing in these events very young children are taught very early that their only value comes from their appearance and the way they look. This in turn leads to emotional problems, eating disorders and a distorted sense of self worth and self esteem"".",6,"Child beauty pageants judge whole person. Some of the criteria considered in judging a pageant are writing skills, interviews, personality, looks, confidence and talent, depending on the specific competition.",ARG,62,Childbeautycontests,mediated,attack,contradiction,,,
13,"Child beauty contests enlarge child egos to unhealthy levels. If you win a bunch of beauty contests at a young age, you might start to thinking you really are better than everyone else your age. This can be unhealthy.",10,"Pageants teach kids to follow rules and play fair. In these cases, child pageants can teach kids to be gracious winners and good losers. They'll learn the aspects of rules and fair play.",ARG,63,Childbeautycontests,mediated,attack,,,,
11,"Better alternatives to beauty pageants for building character. Anything good that a pageant does for a child, something else does it better. As a former basketball player and competitive cheerleader (yes, it's a sport), I know that competition, and the wins and losses that went with it, educated me about the real world. But it's exactly because I did those self-esteem building activities that I know there are options for parents who want confident, happy kids.",10,"Pageants teach kids to follow rules and play fair. In these cases, child pageants can teach kids to be gracious winners and good losers. They'll learn the aspects of rules and fair play.",ARG,64,Childbeautycontests,mediated,attack,,,,
8,"The rebels don't need arms so much as technical and tactical training in how to use them, the creation of some kind of communications network, and a command structure that might help them become a cohesive fighting force.",4,"Once Gaddafi realizes that he is up against an endless supply of arms and ammunition, he will surely recalibrate his decisions. There have been reports that he floated the idea of leaving office as long as he is guaranteed safe passage.",ARG,65,Arminglibianrebels,mediated,attack,,,,
5,"West should protect Libyan civilians, not arm rebels. NATO Secretary-General Anders Fogh Rasmussen says the coalition under his control is clear about its mission. ""We are not in Libya to arm people. We are in Libya to protect civilians against attacks"".",4,"Once Gaddafi realizes that he is up against an endless supply of arms and ammunition, he will surely recalibrate his decisions. There have been reports that he floated the idea of leaving office as long as he is guaranteed safe passage.",ARG,66,Arminglibianrebels,mediated,attack,,,,
6,"Arms will go to rebels no matter if West provides them. There are strong arguments for providing at least small arms. One reason is that weapons are probably going to pour in anyway, perhaps from Egyptian stockpiles or factories and perhaps paid for by Gulf Arab states (indeed, the Wall Street Journal has reported that this is already happening, though Egypt denies it).",9,No controls on how Libyan rebels use West's weapons. Now the Administration's policy may be migrating toward the idea of supplying the rebels with weapons. Yet the rebels have as yet no command and control; they serve a political entity (if that is not too generous a way to describe the councils that have been set up in eastern Libya) that is recognized as legitimate by France alone. There is no way to police the rebels' conduct or to hold them accountable for their actions on the battlefield.,ARG,67,Arminglibianrebels,mediated,attack,,,,
6,"Arms will go to rebels no matter if West provides them. There are strong arguments for providing at least small arms. One reason is that weapons are probably going to pour in anyway, perhaps from Egyptian stockpiles or factories and perhaps paid for by Gulf Arab states (indeed, the Wall Street Journal has reported that this is already happening, though Egypt denies it).",7,"Humanitarian mission needn't involve arming Libyan rebels. It might be justifiable to arm the rebels if that were only way to achieve the humanitarian objectives of the intervention. Yet there isn't any evidence that it would be necessary to do so to defend Benghazi as a sanctuary. It seems clear that Benghazi can be defended from the air by NATO, even if that requires enforcing ""no-drive"" zones occasionally.",ARG,68,Arminglibianrebels,mediated,attack,,,,
5,"West should protect Libyan civilians, not arm rebels. NATO Secretary-General Anders Fogh Rasmussen says the coalition under his control is clear about its mission. ""We are not in Libya to arm people. We are in Libya to protect civilians against attacks"".",11,"What was the alternative? To sit back and watch as Qaddafi butchered his own people and re-imposed control over eastern Libya? Then what? And what kind of impact would that have on democratic uprisings elsewhere in the Middle East? Dictators everywhere would learn the lesson that brutality works, and that -- once again -- the words of the international community mean nothing. An early end to the ""Arab Spring"" could stoke resentment and bitterness for years, with dangerous consequences not only for the region but for Americans and Europeans as well.",ARG,69,Arminglibianrebels,mediated,attack,,,,
5,"West should protect Libyan civilians, not arm rebels. NATO Secretary-General Anders Fogh Rasmussen says the coalition under his control is clear about its mission. ""We are not in Libya to arm people. We are in Libya to protect civilians against attacks"".",2,"Fawzi Bukatif, the commander of the Martyr's Brigade, part of the forces battling Gaddafi said the rebels' progress was hampered by a lack of weapons, and a reliance on ""old Russian weapons"". ""The  problem we have is we have run out of weapons"", he said. ""You know our weapons are traditional ones; the old ones; the Russian weapons. We need ammunition. We need new weapons. We need anti-tanks; we do not have facilities but we have the soldiers left behind by Gaddafi"". ""If we do have weapons and ammunitions that we need at the moment, we can move strongly and faster"".",ARG,70,Arminglibianrebels,mediated,attack,,,,
