t/0/_id,t/0/__text,h/_id,h/__text,_task,_id,_topic,_complex-attack,_argument,_entailment,t/1/_id,t/1/__text
8,"The World Health Organization found in 1995 that the use of coca leaves appears to have no negative health effects and has positive therapeutic, sacred and social functions for indigenous Andean populations.",1,Coca can be classified as a narcotic.,ARG,11,Cocanarcotic,supported,unrelated,,,
10,"Chewing coca has therapeutic value for various ailments. Chewed or consumed as tea, coca counters altitude sickness, aids digestion and quells hunger and fatigue.",1,Coca can be classified as a narcotic.,ARG,12,Cocanarcotic,supported,unrelated,,,
12,"Coca chewing can help relieve hunger, fight obesity. Because coca helps suppress one's appetite, it is also a means of combating overeating and obesity.",1,Coca can be classified as a narcotic.,ARG,13,Cocanarcotic,supported,unrelated,,,
13,"Unlike nicotine or caffeine, coca chewing causes no harm to human health nor addiction or altered state, and it is effective in the struggle against obesity, a major problem in many modern societies.",1,Coca can be classified as a narcotic.,ARG,14,Cocanarcotic,supported,attack,,,
5,"Beauty pageants foster destructive perfectionism, self-criticism. William Pinsof, a clinical psychologist and president of the Family Institute at Northwestern University: ""Being a little Barbie doll says your body has to be a certain way and your hair has to be a certain way. In girls particularly, this can unleash a whole complex of destructive self-experiences that can lead to eating disorders and all kinds of body distortions in terms of body image"".",3,"Beauty contests can boost a child's self-esteem. The most cited reason parents give for putting their children into beauty pageants is to boost their child’s self-esteem, as well as teach poise, public speaking skills, tact, and confidence.",ARG,15,Childbeautycontests,supported,attack,contradiction,,
8,"Pageants teach that self-worth is in physical beauty only. Melinda Tankard-Reist, one of the founders of Collective Shout: ""Competing in these events very young children are taught very early that their only value comes from their appearance and the way they look. This in turn leads to emotional problems, eating disorders and a distorted sense of self worth and self esteem"".",3,"Beauty contests can boost a child's self-esteem. The most cited reason parents give for putting their children into beauty pageants is to boost their child’s self-esteem, as well as teach poise, public speaking skills, tact, and confidence.",ARG,16,Childbeautycontests,supported,attack,contradiction,,
7,"Humanitarian mission needn't involve arming Libyan rebels. It might be justifiable to arm the rebels if that were only way to achieve the humanitarian objectives of the intervention. Yet there isn't any evidence that it would be necessary to do so to defend Benghazi as a sanctuary. It seems clear that Benghazi can be defended from the air by NATO, even if that requires enforcing ""no-drive"" zones occasionally.",1,Arming Libyan rebels has a military impact on the rebels' combat abilities and in ousting Gaddafi from power.,ARG,17,Arminglibianrebels,supported,attack,contradiction,,
9,No controls on how Libyan rebels use West's weapons. Now the Administration's policy may be migrating toward the idea of supplying the rebels with weapons. Yet the rebels have as yet no command and control; they serve a political entity (if that is not too generous a way to describe the councils that have been set up in eastern Libya) that is recognized as legitimate by France alone. There is no way to police the rebels' conduct or to hold them accountable for their actions on the battlefield.,1,Arming Libyan rebels has a military impact on the rebels' combat abilities and in ousting Gaddafi from power.,ARG,18,Arminglibianrebels,supported,attack,contradiction,,
4,"Little evidence random alcohol tests deter drunk driving. There is a dearth of research regarding the deterrent effect of checkpoints. The only formally documented research regarding deterrence is a survey of Maryland's ""Checkpoint Strikeforce"" program. The survey found no deterrent effect: ""To date, there is no evidence to indicate that this campaign, which involves a number of sobriety checkpoints and media activities to promote these efforts, has had any impact on public perceptions, driver behaviors, or alcohol-related motor vehicle crashes and injuries. This conclusion is drawn after examining statistics for alcohol-related crashes, police citations for impaired driving, and public perceptions of alcohol-impaired driving risk"".",1,Random sobriety tests for drivers are effective at deterring drunk driving.,ARG,19,Sobrietytest,supported,attack,contradiction,,
11,"Releasing the photos could deter would-be jihadists, who would have to think a little harder when they see the bloodied bodies of Osama's men killed in the firefight in his hideaway, photos obtained by Reuters from a Pakistani security officer and rightly released on Wednesday.",1,"Release of Osama bin Laden death photos incite Muslim reaction, terrorism.",ARG,20,Osamaphoto,supported,attack,contradiction,,
6,"Death photos reveal Bin Laden as monster he was. The reason to display the photos is to show bin Laden for what he really was: not a holy warrior, not a holy anything, but a deluded mass murderer who met the end he so richly deserved.",1,"Release of Osama bin Laden death photos incite Muslim reaction, terrorism.",ARG,21,Osamaphoto,supported,unrelated,,,
11,"The program is ""pay as you go"", meaning current payroll taxes pay for current retirees. Diverting to four percentage points of payroll taxes (or other sources of government funds) to fund private accounts would drive enormous deficits and borrowing (""transition costs"").",1,Privatizing social security improves economic growth.,ARG,22,Privatizingsocialsecurity,supported,attack,contradiction,,
10,"Some take for granted the idea that the Internet is good for humanity. Many people argue that it has had many negative impacts. The primary use of social networking sites is ""meforming"", or frequent updates about the minutia of people's lives that one research group duly categorized as ""pointless babble"". And if the internet's most common asset is keeping us posted on what old high school classmates are having for brunch, then its risks may be more important.",2,"Internet access is essential now; must be a right. The internet is only that wire that delivers freedom of speech, freedom of assembly, and freedom of the press in a single connection.",ARG,23,Internetaccess,supported,attack,contradiction,,
14,"Internet access is hugely important, but not a right. Internet access [...] is fundamental to my childrens' interactions with the world. It defines their economic utility, their ability to learn, even many of their social relationships. [...] Enabling that, or disabling that, is not a question of 'rights,' but it is fundamental.",1,Internet access is fundamental in modernity.,ARG,24,Internetaccess,supported,attack,,,
7,"Internet access is not really essential. It is much easier than people think to live without the Internet. People were able to lead happy succesful lives in the past without the Internet, and they are able to do so now as well. While there are certainly luxuries surrounding the use of the Internet, it is excessive to deem it as essential to human life and happiness. It is excessive there to deem it as a fundamental human right on these grounds.",1,Internet access is fundamental in modernity.,ARG,25,Internetaccess,supported,attack,contradiction,,
6,"Cordoba House is a Muslim community center first; mosque second. Only the top floor of the mosque will be a prayer space. Most of Ground Zero Mosque will act as a Muslim community center, with a pool and exercise areas and spaces for other community-related activities that have very little to do with prayer. This just dampens the idea that this is somehow a hard core, or even radical, religious institution. It simply is not.",,,ARG,26,Groundzeromosque,supported,attack,contradiction,2,"Cordoba House is no act of tolerance, but of excess/arrogance. Building this structure on the edge of the battlefield created by radical Islamists is not a celebration of religious pluralism and mutual tolerance; it is a political statement of shocking arrogance and hypocrisy."
8,"Name ""Cordoba House"" indicates nefarious intent of mosque. The true intentions of Rauf are also revealed by the name initially proposed for the Ground Zero mosque— ""Cordoba House"" — which is named for a city in Spain where a conquering Muslim army replaced a church with a mosque.",1,"The intentions of Cordoba House (also referred to as the ""Ground Zero Mosque"") developers are pure.",ARG,27,Groundzeromosque,supported,attack,contradiction,,
4,"Conscripts will not last as long nor be as combat reliable in the battlefield as compared to a real soldier who is trained to do both. These 'conscripts' (candidates) are only given the basic training of how to wield a gun and aim, but that short-lived training will never prepare them to readily pull the trigger to end someone's life, therefore lowering their combat-efficiency because of the uncertainties they pose as soldiers.",1,National conscription is important to national security.,ARG,28,Militaryservice,supported,attack,contradiction,,
5,"Compulsory service brings in unqualified and unfit. There are too many unqualified people and, in addition, quite a lot of them suffer from psychological problems.",1,National conscription is important to national security.,ARG,29,Militaryservice,supported,attack,contradiction,,
9,"Unnecessary to train whole nation to prepare for threats. Suhail Al-Enizi, aged 28, argued in 2010 that military service in Kuwait should not be mandatory: ""I am certain that we have enough soldiers in the army. We don't need to train the entire nation in order to be ready for threats; we are not in a police state. This is a democracy.""",1,National conscription is important to national security.,ARG,30,Militaryservice,supported,attack,,,
6,"Iraq and Kosovo no-fly zones weren't really successes. We should remember that the no-fly zones in Iraq devolved into a decade-long air war that paved the way for the later invasion of Iraq, and the Kosovo intervention brought an end to Serbian control of the province only to deliver it into the hands of a criminal gang in the Kosovo Liberation Army.",1,A no-fly zone over Libya has a significant impact on conflict.,ARG,31,Noflyzone,supported,attack,,,
12,Profiling alienates groups needed in terrorism fight. Treating all Muslims as suspects also undermines our efforts to gain intelligence on terrorists. We shouldn't be profiling the very communities we need information from to catch the bad guys. Umar Abdul-Muttallab's father gave us such information to prevent the Dec. 25 terror plot.,1,Airport security profiling is an effective strategy.,ARG,32,Securityprofiling,supported,attack,contradiction,,
12,Profiling alienates groups needed in terrorism fight. Treating all Muslims as suspects also undermines our efforts to gain intelligence on terrorists. We shouldn't be profiling the very communities we need information from to catch the bad guys. Umar Abdul-Muttallab's father gave us such information to prevent the Dec. 25 terror plot.,7,"We have seen that certain types of people who fit a certain profile – young men of a particular ethnic background – have been engaged in terror activities, and targeting this sort of passenger would give people a greater sense of security. Profiling has to be backed by this type of statistical and intelligence-based evidence. There would be no point in stopping Muslim grandmothers.",ARG,33,Securityprofiling,supported,attack,,,
8,"It's not true that all terrorists are Muslims. Any such measure would not only alienate people, it would also be ineffective in terms of stopping terrorists. What's to stop them dressing up as orthodox Jews in order to evade profiling-based searches?",1,Airport security profiling is an effective strategy.,ARG,34,Securityprofiling,supported,attack,contradiction,,
18,"Managing solar power's inconsistency is inefficient and costly. Because solar power is very inconsistent, it must be managed heavily. Someone has to constantly monitor solar energy's production, engaging back-up sources when supply is low and storing energy when supply is high. This is inefficient and costly. And, wherever solar power is built, an auxiliary source of power must be built as well. This is costly.",1,Solar energy is economically sound.,ARG,35,Solarenergy,supported,attack,contradiction,,
18,"Managing solar power's inconsistency is inefficient and costly. Because solar power is very inconsistent, it must be managed heavily. Someone has to constantly monitor solar energy's production, engaging back-up sources when supply is low and storing energy when supply is high. This is inefficient and costly. And, wherever solar power is built, an auxiliary source of power must be built as well. This is costly.",6,"Solar energy is abundant. Every minute, enough energy arrives at planet Earth to meet human energy demands for a year. It is, therefore, the most abundant energy source available to humans. This abundance makes it an economic gem.",ARG,36,Solarenergy,supported,attack,,,
16,"More efficient gasoline cars and hybrids are better than NGVs. The benefits to natural gas vehicles over gasoline vehicles have dropped in the past two decades as new combustion engines are being manufactured to be more efficient and cleaner. Continuing to make gasoline engines more efficient, even by creating hybrid vehicles, will be easier and go just as far as attempting to move to natural gas vehicles.",3,"Compared with their petroleum-powered counterparts, natural gas vehicles greatly reduce greenhouse gas emissions. The exhaust created from natural gas contains 70 percent less carbon monoxide, nearly 90 percent less nitrogen oxide and non-methane organic gas, and virtually no particulate matter.",ARG,37,Gasvehicles,supported,attack,contradiction,,
7,"A recent National Highway Traffic Safety Administration survey reports that 44 percent of drivers have a cell phone with them while driving, a number that will only increase with the proliferation of phone ownership. We calculated that car accidents associated with phone use account for about 300 deaths per year. While small in comparison to the 41,000 annual deaths from car accidents, these deaths raise the question whether cell phone use while driving is justifiable. We think a ban is unwise at this time because vehicular cell phone use provides substantial personal and societal benefits, but does not contribute to a large number of serious accidents.",1,The use of cell-phones while driving is a public hazard.,ARG,38,Gasvehicles,supported,attack,contradiction,,
12,"Drivers now often use mobile phones to report accidents to the emergency services, and alert the police to dangerous driving, stray animals, unsafe loads, etc.",1,The use of cell-phones while driving is a public hazard.,ARG,39,Cellphones,supported,attack,contradiction,,
15,Cell phone ban introduces new distraction of scanning for cops.,4,"Research shows that drivers speaking on a mobile phone have much slower reactions in braking tests than non-users, and are worse even than if they have been drinking.",ARG,40,Cellphones,supported,unrelated,,,
14,"Cell phone subscribership in the United States has grown dramatically in recent years, from 92,000 people in 1985 to more than 77 million in 1999. A recent National Highway Traffic Safety Administration survey reports that 44 percent of drivers have a cell phone with them while driving, a number that will only increase with the proliferation of phone ownership. We calculated that car accidents associated with phone use account for about 300 deaths per year. While small in comparison to the 41,000 annual deaths from car accidents, these deaths raise the question whether cell phone use while driving is justifiable. We think a ban is unwise at this time because vehicular cell phone use provides substantial personal and societal benefits, but does not contribute to a large number of serious accidents.",4,"Research shows that drivers speaking on a mobile phone have much slower reactions in braking tests than non-users, and are worse even than if they have been drinking.",ARG,41,Cellphones,supported,attack,,,
16,"Some researchers, in fact, fear that the new law may cause more traffic accidents, not fewer, because they envision more distractions for many motorists. When ring tones chime and drivers scramble to find their newly purchased headsets -- or, alternatively, scan the roadsides for police enforcing the new ban -- their attention, already stretched, will be further taxed.",4,"Research shows that drivers speaking on a mobile phone have much slower reactions in braking tests than non-users, and are worse even than if they have been drinking.",ARG,42,Cellphones,supported,unrelated,,,
21,"No matter what research you read of who's stories you listen to, the fact remains that the bad or good aspects of marijuana use are above all else subjective, and in essence an oppinion. It is simply a judgement call. Each side has it's oppinion on the benefits and/or negative ramifications of marijuana use. With marijuana use there are the same pitfalls as any other life activity... bad judgement yeilds bad results... but our ability to choose for ourselves MUST be preserved.",3,"Even if marijuana's effects were isolated to the individual, there is room for the state to protect individuals from harming themselves. This is why it is illegal, in some places, not wear a seat belt. If marijuana's effects are seen as clearly harmful, the state can justly protect its citizens from it.",ARG,43,Marijuanafree,supported,attack,,,
11,Legalization of marijuana would increase work-place accidents.,1,Individuals should be at liberty to use marijuana.,ARG,44,Marijuanafree,supported,attack,,,
9,Legalization of marijuana would make roads more dangerous.,1,Individuals should be at liberty to use marijuana.,ARG,45,Marijuanafree,supported,attack,,,
10,Some train and plane tragedies were connected with marijuana use.,1,Individuals should be at liberty to use marijuana.,ARG,46,Marijuanafree,supported,attack,,,
13,"Instances of brutal violence and murder have been cited as caused, to some extent, by marijuana use and impaired judgement.",1,Individuals should be at liberty to use marijuana.,ARG,47,Marijuanafree,supported,attack,,,
