t/_id,t/__text,h/_id,h/__text,_task,_id,_topic,_BAF,_entailment,_ENTAILMENT,h/_d
34-j3,The boy lied [about the fact that he lost the knife and that someone else stabbed his father with a similar knife]].,31-j8,I'm not trying to make anyone accept [the hypothesis that the boy lost the knife and that someone else stabbed his father with a similar knife]. I'm just saying it's possible.,ARG,33,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
35-j10,Sure [the boy] lied!,34-j3,The boy lied.,ARG,34,Act1-TwelveAngryMan,SUPPORT,,ENTAILMENT,
36-j4,[The boy] lied.,35-j10,Sure [the boy] lied!,ARG,35,Act1-TwelveAngryMan,SUPPORT,,ENTAILMENT,
37-j7,"If you want to be stubborn and hang this jury, [the boy] will be tried again and found guilty, sure as he's born.",1-j8,I don't know [if he is guilty].,ARG,36,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
38-j8,You're probably right [the boy will be tried again and found guilty].,37-j7,"If you want to be stubborn and hang this jury, [the boy] will be tried again and found guilty, sure as he's born.",ARG,37,Act1-TwelveAngryMan,SUPPORT,,ENTAILMENT,
39-j9,A man may die [if we say that he is guilty].,38-j8,You're probably right [the boy will be tried again and found guilty].,ARG,38,Act1-TwelveAngryMan,ATTACK,UNKNOWN,,
41-j3,"The old man heard the kid yell, ""I'm gonna kill you"". A second later he heard the father's body falling, and he saw the boy running out of the house fifteen seconds after that.",40-j9,It's a feeling I have [that he is not guilty].,ARG,39,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
42-j12,And let's not forget the woman across the street. She looked into the open window and saw the boy stab his father. She saw it. Now if that's not enough for you.,40-j9,It's a feeling I have [that he is not guilty].,ARG,40,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
43-j8,[The woman across the street who looked into the open window and saw the boy stab his father]. It's not enough for me [to consider him guilty].,,And let's not forget the woman across the street. She looked into the open window and saw the boy stab his father. She saw it. Now if that's not enough for you.,ARG,41,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,42-j12
44-j4,"The woman saw the killing through the windows of a moving elevated train. The train had five cars, and she saw it through the windows of the last two.",43-j8,[The woman across the street who looked into the open window and saw the boy stab his father]. It's not enough for me [to consider him guilty].,ARG,42,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
45-j8,"An el takes ten seconds to pass a given point or two seconds per car. That el had been going by the old man's window for at least six seconds and maybe more, before the body fell, according to the woman. The old man would have had to hear the boy say, ""I'm going to kill you,"" while the front of the el was roaring past his nose. It's not possible that he could nave heard it.",41-J3,"The old man heard the kid yell, ""I'm gonna kill you."" A second later he heard the father's body falling, and he saw the boy running out of the house fifteen seconds after that.",ARG,43,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
46-j3,"[The old man] said the boy yelled [""I'm going to kill you""] out. That's enough for me.",45-j8,"An el takes ten seconds to pass a given point or two seconds per car. That el had been going by the old man's window for at least six seconds and maybe more, before the body fell, according to the woman. The old man would have had to hear the boy say, ""I'm going to kill you,"" while the front of the el was roaring past his nose. It's not possible that he could nave heard it.",ARG,44,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
47-j9,"I don't think he could have heard [the old man yelling ""I'm going to kill you""].",46-j3,"[The old man] said the boy yelled [""I'm going to kill you""] out. That's enough for me.",ARG,45,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
48-j2,"Maybe he didn't hear [the boy yelling ""I'm going to kill you""]. I mean with the el noise.",47-j9,"I don't think he could have heard [the boy yelling ""I'm going to kill you""].",ARG,46,Act2-TwelveAngryMan,SUPPORT,,ENTAILMENT,
49-j3,"[The old man cannot be a liar, he must have heard the boy yelling ""I'm going to kill you""].",48-j2,"Maybe he didn't hear [the boy yelling ""I'm going to kill you""]. I mean with the el noise.",ARG,47,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
50-j5,"It stands to reason, [the old man can be a liar].",49-j3,[The old man cannot be a liar].,ARG,48,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
51-j9,"Attention, maybe [the old main is a liar].",50-j5,"It stands to reason, [the old man can be a liar].",ARG,49,Act2-TwelveAngryMan,SUPPORT,,ENTAILMENT,
52-j9,"He was a very old man with a torn jacket, and he carried two canes. This is a quiet, frightened, insignificant man who has been nothing all his life, who has never had recognition—his name in the newspapers. A man like this needs to be recognized. To be questioned, and listened to, and quoted just once.",51-j9,"Attention, maybe [the old main is a liar].",ARG,50,Act2-TwelveAngryMan,SUPPORT,,ENTAILMENT,
53-j9,"The old man wouldn't really lie. But perhaps he'd make himself believe that he heard those words and recognized the boy's face. [He wore a torn jacket, and he carried two canes. He is an insignificant man who has been nothing all his life and needs to be recognized].",52-j9,"He was a very old man with a torn jacket, and he carried two canes. This is a quiet, frightened, insignificant man who has been nothing all his life, who has never had recognition—his name in the newspapers. A man like this needs to be recognized. To be questioned, and listened to, and quoted just once.",ARG,51,Act2-TwelveAngryMan,SUPPORT,,ENTAILMENT,
54-j3,That's the most fantastic story I've ever heard. You made it up.,53-j9,The old man wouldn't really lie. But perhaps he'd make himself believe that he heard those words and recognized the boy's face.,ARG,52,Act2-TwelveAngryMan,ATTACK,UNKNOWN,,
55-j8,"I think we proved that the old man couldn't have heard the boy say, ""I'm going to kill you"" but supposing he really did hear it? This phrase: how many times has each of you used it? Probably hundreds. ""If you do that once more, Junior, I'm going to murder you."" ""Come on, Rocky, kill him!"" We say it every day. This doesn't mean that we're going to kill someone.",41-j3,"The old man heard the kid yell, ""I'm gonna kill you."" A second later he heard the father's body falling, and he saw the boy running out of the house fifteen seconds after that.",ARG,53,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
56-j3,"The phrase was ""I'm going to kill you"" and the kid screamed it out at the top of his lungs. Anybody says a thing like that the way he said it — they mean it.",55-j8,"I think we proved that the old man couldn't have heard the boy say, ""I'm going to kill you"" but supposing he really did hear it? This phrase: how many times has each of you used it? Probably hundreds. ""If you do that once more, Junior, I'm going to murder you."" ""Come on, Rocky, kill him!"" We say it every day. This doesn't mean that we're going to kill someone.",ARG,54,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
57-j10,"And how they mean it [when they say ""I'm going to kill you"", as the boy screamed out at the top of his lungs.]!",56-j3,"The phrase was ""I'm going to kill you"" and the kid screamed it out at the top of his lungs. Anybody says a thing like that the way he said it—they mean it.",ARG,55,Act2-TwelveAngryMan,SUPPORT,,ENTAILMENT,
58-j8,"Do you really think the boy would shout out a [""I'm going to kill you""] so the whole neighborhood would hear it? I don't think so. He's much too bright for that.",56-j3,"The phrase was ""I'm going to kill you"" and the kid screamed it out at the top of his lungs. Anybody says a thing like that the way he said it—they mean it.",ARG,56,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
59-j5,I'd like to change my vote to not guilty.,40-j9,It's a feeling I have [that he is not guilty].,ARG,57,Act2-TwelveAngryMan,SUPPORT,,ENTAILMENT,
60-j7,"We're supposed to believe that the old man didn't get up out of bed, run to the door, and see the kid beat it downstairs fifteen seconds after the killing.",45-j8,"An el takes ten seconds to pass a given point or two seconds per car. That el had been going by the old man's window for at least six seconds and maybe more, before the body fell, according to the woman. The old man would have had to hear the boy say, ""I'm going to kill you,"" while the front of the el was roaring past his nose. It's not possible that he could nave heard it.",ARG,58,Act2-TwelveAngryMan,ATTACK,UNKNOWN,,
61-j8,"[We are not supposed to believe that the old man didn't get up out of bed, run to the door, and see the kid beat it downstairs fifteen seconds after the killing]. We're going to find out how a man who's had two strokes in the past three years, and who
walks with a pair of canes, could get to his front door in fifteen seconds.",60-j7,"We're supposed to believe that the old man didn't get up out of bed, run to the door, and see the kid beat it downstairs fifteen seconds after the killing.",ARG,59,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
62-j3,"[The man] said [it took him] twenty seconds [to get up out of bed, run to the door, and see the kid beat it downstairs].",61-j8,"[We are not supposed to believe that the old man didn't get up out of bed, run to the door, and see the kid beat it downstairs fifteen seconds after the killing]. We're going to find out how a man who's had two strokes in the past three years, and who
walks with a pair of canes, could get to his front door in fifteen seconds.",ARG,60,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
63-j2,"[The man] said [it took him] fifteen seconds [to get up out of bed, run to the door, and see the kid beat it downstairs].",62-j3,"[The man] said [it took him] twenty seconds [to get up out of bed, run to the door, and see the kid beat it downstairs].",ARG,61,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
64-j9,"[The man] said [it took him] fifteen seconds [to get up out of bed, run to the door, and see the kid beat it downstairs]. He was very positive about it.",63-j2,"[The man] said [it took him] fifteen seconds [to get up out of bed, run to the door, and see the kid beat it downstairs].",ARG,62,Act2-TwelveAngryMan,SUPPORT,,ENTAILMENT,
65-j3,"He's an old man. Half the time he was confused. He cannot be positive about [the fact that it took him fifteen seconds to get up out of bed, run to the door, and see the kid beat it downstairs]",64-j9,"[The man] said [it took him] fifteen seconds [to get up out of bed, run to the door, and see the kid beat it downstairs]. He was very positive about it.",ARG,63,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
66-j11,"[The man] can only walk very slowly, [and he was often confused]. They had to help him into the witness chair. [He could have not got up out of bed, run to the door, and see the kid beat it downstairs in fifteen seconds.]",65-j3,"He's an old man. Half the time he was confused. He cannot be positive about [the fact that it took him fifteen seconds to get up out of bed, run to the door, and see the kid beat it downstairs]",ARG,64,Act2-TwelveAngryMan,SUPPORT,,ENTAILMENT,
67-j3,[Going to the man's front door is not a long walk. He could have get there in fifteen seconds.],66-j11,"[The man] can only walk very slowly, [and he was often confused]. They had to help him into the witness chair. [He could have not got up out of bed, run to the door, and see the kid beat it downstairs in fifteen seconds.]",ARG,65,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
68-j9,"For an old man who uses canes, going [to the man's front door] is a long walk.",67-j3,[Going to the man's front door is not a long walk. He could have get there in fifteen seconds.],ARG,66,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
69-j8,"It's my guess that the old man was trying to get to the door, heard someone racing down the stairs, and assumed that it was the boy.",41-j3,"The old man heard the kid yell, ""I'm gonna kill you."" A second later he heard the father's body falling, and he saw the boy running out of the house fifteen seconds after that.",ARG,67,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
70-j6,"I think that [the old man was trying to get to the door, heard someone racing down the stairs, and assumed that it was the boy] is possible.",69-j8,"It's my guess that the old man was trying to get to the door, heard someone racing down the stairs, and assumed that it was the boy.",ARG,68,Act2-TwelveAngryMan,SUPPORT,,ENTAILMENT,
71-j3,This kid is guilty! He's got to burn! We're letting him slip through our fingers here.,40-j9,It's a feeling I have [that he is not guilty].,ARG,69,Act2-TwelveAngryMan,ATTACK,CONTRADICTION,,
72-j8,You want to see this boy die because you personally want it—not because of the facts.,71-j3,This kid is guilty! He's got to burn! We're letting him slip through our fingers here.,ARG,70,Act2-TwelveAngryMan,ATTACK,UNKNOWN,,
74-j2,That's a difference of six inches [between the boy and his father]. It's a very awkward thing to stab down into the chest of someone who's half a foot taller than you are.,73-j2,[Maybe the boy] is not guilty.,ARG,71,Act3-TwelveAngryMan,SUPPORT,,ENTAILMENT,
75-j3,"Down and in. That's how I'd stab a taller man in the chest, and that's how [the boy did].",74-j2,That's a difference of six inches [between the boy and his father]. It's a very awkward thing to stab down into the chest of someone who's half a foot taller than you are.,ARG,72,Act3-TwelveAngryMan,ATTACK,CONTRADICTION,,
76-j5,Anyone who's ever used a switch knife would never have stabbed downward. You don't handle a switch knife that way. You use it underhanded.,75-j3,"Down and in. That's how I'd stab a taller man in the chest, and that's how [the boy did].",ARG,73,Act3-TwelveAngryMan,ATTACK,CONTRADICTION,,
77-j8,"Then he couldn't have made the kind of wound, which killed his father, [since he has been stabbed downward. Since he had used a switch knife before, he would have used it underhanded].",76-j5,Anyone who's ever used a switch knife would never have stabbed downward. You don't handle a switch knife that way. You use it underhanded.,ARG,74,Act3-TwelveAngryMan,SUPPORT,,ENTAILMENT,
78-j5,"He couldn't have [made the kind of wound, which killed his father]. Not if he'd ever had any experience with switch knives.",77-j8,"Then he couldn't have made the kind of wound, which killed his father.",ARG,75,Act3-TwelveAngryMan,SUPPORT,,ENTAILMENT,
79-j7,I'm changing my vote to not guilty.,73-j2,[Maybe the boy] is not guilty.,ARG,76,Act3-TwelveAngryMan,SUPPORT,,ENTAILMENT,
80-j10,"[This kid is not innocent.] Look, you know how those people lie. They don't know what the truth is. And lemme tell you, they don't need any real big reason to kill someone either. You know, they get drunk, and bang, someone's lying in the gutter.",79-j7,I'm changing my vote to not guilty.,ARG,77,Act3-TwelveAngryMan,ATTACK,UNKNOWN,,
81-j4,"I still believe the boy is guilty of murder. To me, the most damning evidence was given by the woman across the street who claimed she actually saw the murder committed.",73-j2,[Maybe the boy] is not guilty.,ARG,78,Act3-TwelveAngryMan,ATTACK,UNKNOWN,,
82-j3,"As far as I'm concerned, [the woman across the street who claimed she actually saw the murder committed] is the most important testimony [of the boy's guilt].",81-j4,"I still believe the boy is guilty of murder. To me, the most damning evidence was given by the woman across the street who claimed she actually saw the murder committed.",ARG,79,Act3-TwelveAngryMan,SUPPORT,,ENTAILMENT,
83-j8,"[The woman] wasn't wearing [her glasses] in bed. She testified that in the midst of her tossing and turning she rolled over and looked casually out the window. The murder was taking place as she looked out, and the lights went out a split second later. She couldn't have had time to put on her glasses. Now maybe she honestly thought she saw the boy kill his father. I say that she saw only a blur.",82-j3,"As far as I'm concerned, [the woman across the street who claimed she actually saw the murder committed] is the most important testimony [of the boy's guilt].",ARG,80,Act3-TwelveAngryMan,ATTACK,CONTRADICTION,,
