t/0/_id,t/0/__text,h/_id,h/__text,_task,_id,_topic,_complex-attack,_argument,_entailment,t/1/_id,t/1/__text
11,"Better alternatives to beauty pageants for building character. Anything good that a pageant does for a child, something else does it better. As a former basketball player and competitive cheerleader (yes, it's a sport), I know that competition, and the wins and losses that went with it, educated me about the real world. But it's exactly because I did those self-esteem building activities that I know there are options for parents who want confident, happy kids.",1,Child beauty contests teach good life lessons.,ARG,12,Childbeautycontests,secondary,attack,,,
13,"Child beauty contests enlarge child egos to unhealthy levels. If you win a bunch of beauty contests at a young age, you might start to thinking you really are better than everyone else your age. This can be unhealthy.",1,Child beauty contests teach good life lessons.,ARG,13,Childbeautycontests,secondary,attack,contradiction,,
8,"Pageants teach that self-worth is in physical beauty only. Melinda Tankard-Reist, one of the founders of Collective Shout: ""Competing in these events very young children are taught very early that their only value comes from their appearance and the way they look. This in turn leads to emotional problems, eating disorders and a distorted sense of self worth and self esteem"".",1,Child beauty contests teach good life lessons.,ARG,14,Childbeautycontests,secondary,attack,contradiction,,
8,"The rebels don't need arms so much as technical and tactical training in how to use them, the creation of some kind of communications network, and a command structure that might help them become a cohesive fighting force.",1,Arming Libyan rebels has a military impact on the rebels' combat abilities and in ousting Gaddafi from power.,ARG,15,Arminglibianrebels,secondary,attack,contradiction,,
6,"Repeat drunk drivers unlikely to respond to random breath testing deterrence. ""One statistic the MAD bunch doesn't like to mention is the fact that half of the people killed by drunk drivers have at least double the legal blood alcohol limit. They don't like it because it implies that, on a sliding scale, drivers who are barely over the legal limit are probably not that bad. It suggests that problems associated with drunk driving are overwhelmingly caused by a small cadre of hard-core problem drinkers who are sloshed behind the wheel. Unfortunately, these are also the people who are the least responsive to legal incentives, so MAD - and the law - targets ordinary people who have a glass or two of sherry instead"".",1,Random sobriety tests for drivers are effective at deterring drunk driving.,ARG,16,Sobrietytest,secondary,attack,contradiction,,
8,"The majority of people caught drink driving have not been from random breath tests. They have been from tip-offs, police chases and police pulling over suspects, not random breath testing.",1,Random sobriety tests for drivers are effective at deterring drunk driving.,ARG,17,Sobrietytest,secondary,attack,contradiction,,
4,"Little evidence random alcohol tests deter drunk driving. There is a dearth of research regarding the deterrent effect of checkpoints. The only formally documented research regarding deterrence is a survey of Maryland's ""Checkpoint Strikeforce"" program. The survey found no deterrent effect: ""To date, there is no evidence to indicate that this campaign, which involves a number of sobriety checkpoints and media activities to promote these efforts, has had any impact on public perceptions, driver behaviors, or alcohol-related motor vehicle crashes and injuries. This conclusion is drawn after examining statistics for alcohol-related crashes, police citations for impaired driving, and public perceptions of alcohol-impaired driving risk"".",1,Random sobriety tests for drivers are effective at deterring drunk driving.,ARG,18,Sobrietytest,secondary,attack,contradiction,,
9,"National security secrets not at risk in releasing Bin Laden photos. If national-security secrets were revealed in the photos, the equation would be different. But that's not the case with a single image of the terrorist leader's dead body.",1,"Release of Osama bin Laden death photos incite Muslim reaction, terrorism.",ARG,19,Osamaphoto,secondary,attack,contradiction,,
22,"Al-Qaeda will see withholding photos as sign of their impact. Why they released the death picture of Saddam but don't dare to release that of Osama's? The only reason is that Iraq is down but Al-Qaeda is still there, so their path of terrorism is effective. It is an encouragement to them.",12,"Osama photos could become icons for rallying extremists. Obama defended his decision to withhold photos of Bin Laden's dead body in an interview with CBS News program 60 Minutes, saying U.S. officials did not want to give extremist groups the ability to use the photos as ''propaganda tools.'' He tells 60 Minutes: ''I think Americans and people around the world are glad that he is gone. But we don't need to spike the football.''",ARG,20,Osamaphoto,secondary,attack,,,
5,"Privatization would not increase capital for investment. The problem is that for every dollar put into the market through a private account, the government would have to borrow a dollar in the market to cover existing payouts. Thus the supposed benefit is entirely eliminated, as the net impact on the capital available for investment is zero.",1,Privatizing social security improves economic growth.,ARG,21,Privatizingsocialsecurity,secondary,attack,contradiction,,
3,"Creating private accounts could dampen economic growth, which would further weaken social security's future finances. Privatizing Social Security will increase federal deficits and debt significantly while increasing the likelihood that national savings will decline.",1,Privatizing social security improves economic growth.,ARG,22,Privatizingsocialsecurity,secondary,attack,contradiction,,
9,"Privatizing social security would wrongly enrich banks. Privatization would represent a windfall for Wall Street financial institutions, who would obtain significant fees for managing private accounts.",1,Privatizing social security improves economic growth.,ARG,23,Privatizingsocialsecurity,secondary,attack,contradiction,,
12,"The right to speak springs from the innate sense of owning one's self rather than being a property of the state, which means that each individual has the right to their own thoughts and to express them. That right doesn't extend to publication, however, which is where Toure's argument runs off the rails. If one wants to get published, then either one has to own the means to publication or pay someone else for the service. After all, no one has the right to confiscate someone else's printing press in order to get published.",1,Internet access is fundamental in modernity.,ARG,24,Internetaccess,secondary,unrelated,,,
3,"Just because something is a huge part in many people's lives, does it mean that those things should be regarded as rights? Cell phones for example. Should they become a right. If the internet is a right, then cell phones should be rights because they are more common. Other examples, like cars, or even drugs. Drugs and cars are a huge part of people lives. Just because they're widespread and is used extensively, doesn't mean that they should be rights.",1,Internet access is fundamental in modernity.,ARG,25,Internetaccess,secondary,unrelated,,,
15,"Internet ""right"" means denying parents' ability to set limits. Do you want to make a world when a mother tells her child: ""you cannot stay on the internet anymore"" that she has taken a right from him? Compare taking the right for a home or for education with taking the ""right"" to access the internet.",1,Internet access is fundamental in modernity.,ARG,26,Internetaccess,secondary,unrelated,,,
8,"Internet access is no right, but means of entertainment. The Internet functions mostly as a means of entertainment, enabling individuals to acquire information and to engage in other activities. No form of entertainment should be made a ""right"".",1,Internet access is fundamental in modernity.,ARG,27,Internetaccess,secondary,unrelated,,,
14,"Internet access is hugely important, but not a right. Internet access [...] is fundamental to my childrens' interactions with the world. It defines their economic utility, their ability to learn, even many of their social relationships. [...] Enabling that, or disabling that, is not a question of 'rights,' but it is fundamental.",1,Internet access is fundamental in modernity.,ARG,28,Internetaccess,secondary,attack,,,
10,"Radical views underlie the ground zero mosque. Sarah Palin: ""Just days after 9/11, the spiritual leader of the organization that wants to build the mosque, Imam Faisal Abdul Rauf, suggested that blame be placed on the innocents when he stated that the ''United States' policies were an accessory to the crime that happened'' and that ''in the most direct sense, Osama bin Laden is made in the USA.'' Rauf refuses to recognize that Hamas is a terrorist organization dedicated to the destruction of our ally, Israel, and refuses to provide information about the sources of funding for the $100 million mosque. Rauf also plays a key role in a group behind the flotilla designed to provoke Israel in its justifiable blockade of Gaza. These are just a few of the points Americans are realizing as New York considers the proposed mosque just a stone's throw away from 9/11's sacred ground.",1,"The intentions of Cordoba House (also referred to as the ""Ground Zero Mosque"") developers are pure.",ARG,29,Groundzeromosque,secondary,attack,contradiction,,
11,"If developers intentions pure, they should be fine finding new site. Joe Liebarman: If the people building this large Islamic center are just looking to build a large facility — a house of worship and center — in New York, why so close to 9/11, with all the sensitivity associated with that?",1,"The intentions of Cordoba House (also referred to as the ""Ground Zero Mosque"") developers are pure.",ARG,30,Groundzeromosque,secondary,attack,,,
9,"Name ""Cordoba House"" is about past period of tolerance. Imam Feisal says he chose ""Cordoba"" in recollection of a time when the rest of Europe had sunk into the Dark Ages but Muslims, Jews and Christians created an oasis of art, culture and science. Mr Gingrich sees only a ""deliberate insult"", a reminder of a period when Muslim conquerors ruled Spain. Like Mr bin Laden, Mr Gingrich is apparently still relitigating the victories and defeats of religious wars fought in Europe and the Middle East centuries ago.",7,"Name ""Cordoba House"" is a very direct historical indication that the Ground Zero mosque is all about conquest and thus an assertion of Islamist triumphalism.",ARG,31,Groundzeromosque,secondary,attack,contradiction,,
8,"Because organized compulsion costs more than real volunteering, the indirect expenses for governments would be still greater. Chief among these are the hidden financial costs of universal national service to the economy in the form of forgone labor.",1,National conscription is important to national security.,ARG,32,Militaryservice,secondary,attack,,,
15,"Mandatory military service is more expensive. Because organized compulsion costs more than real volunteering [...], the indirect expenses for governments would be still greater. Chief among these are the hidden financial costs of universal national service to the economy in the form of forgone labor.",1,National conscription is important to national security.,ARG,33,Militaryservice,secondary,attack,,,
17,"No-fly zone supports rebels, whose intentions we don't know. This would mean actively siding with rebels whose goals other than overthrowing Gaddafi we don't know.",1,A no-fly zone over Libya has a significant impact on conflict.,ARG,34,Noflyzone,secondary,attack,,,
9,"No-fly zone wouldn't prevent most atrocities. Leslie Gelb in the The Daily Beast said: ""...U.S. jets high up in the sky still wouldn't be able, in most cases, to spot Libyan helicopter attacks at much lower altitudes and destroy them. Since these helicopters are doing the most damage now, what would the interventionists advocate at that point?""",1,A no-fly zone over Libya has a significant impact on conflict.,ARG,35,Noflyzone,secondary,attack,,,
8,"It's not true that all terrorists are Muslims. Any such measure would not only alienate people, it would also be ineffective in terms of stopping terrorists. What's to stop them dressing up as orthodox Jews in order to evade profiling-based searches?",1,Airport security profiling is an effective strategy.,ARG,36,Securityprofiling,secondary,attack,contradiction,,
16,"Solar panels collect approximately 8 to 15% of the energy that reaches them, while coal-powered plants achieve about 35% efficiency.",1,Solar energy is economically sound.,ARG,37,Solarenergy,secondary,attack,contradiction,,
7,"Solar panels cannot produce energy at night like other alternatives. Coal-electricity and hydroelectricity can both operate 24/7. Solar power, however, can only operate during the day-time. This means that solar power's energy yield is smaller relative to the capital investment.",1,Solar energy is economically sound.,ARG,38,Solarenergy,secondary,attack,contradiction,,
8,"Clouds and smog undermine solar energy unlike other energy sources. If it is cloudy, the output of solar energy can be reduced by over ninety percent. This means that solar energy is entirely dependent on good weather, an unpredictable variable that is economically unattractive.",1,Solar energy is economically sound.,ARG,39,Solarenergy,secondary,attack,contradiction,,
17,"While sunlight is free, the technology for capturing it is expensive. It is misleading to say that sunlight energy is free. The price of energy resources have always been determined by cost of extracting the energy and transforming it into a consumable form. Indeed, oil is ""free"" to those that discover it, but it is sold at a price related to the expense of extracting and refining the good. Solar energy is the same. The price of sun energy is found in the expense of the technology and other factors involved in extracting it and transforming it into a consumable form. It is not ""free"".",1,Solar energy is economically sound.,ARG,40,Solarenergy,secondary,attack,,,
4,"Natural gas hardly reduces emissions compared to petroleum. When natural gas replaces gasoline, greenhouse gases are reduced by just 20 to 30%. When natural gas is used instead of diesel in trucks, greenhouse gases are reduced just 10 to 20%. If diesel is almost comparable, then it makes more sense to fund that as a stop gap as that infrastructure is already in place.",1,Natural gas vehicles help cut emissions and fight global warming.,ARG,41,Gasvehicles,secondary,attack,contradiction,,
10,"Gasoline/petrol vehicles converted to run on natural gas suffer because of the low compression ratio of their engines, resulting in a cropping of delivered power while running on natural gas (10%-15%). This inefficiency is costly economically and in terms of global warming.",1,Natural gas vehicles help cut emissions and fight global warming.,ARG,42,Solarenergy,secondary,attack,,,
7,"A recent National Highway Traffic Safety Administration survey reports that 44 percent of drivers have a cell phone with them while driving, a number that will only increase with the proliferation of phone ownership. We calculated that car accidents associated with phone use account for about 300 deaths per year. While small in comparison to the 41,000 annual deaths from car accidents, these deaths raise the question whether cell phone use while driving is justifiable. We think a ban is unwise at this time because vehicular cell phone use provides substantial personal and societal benefits, but does not contribute to a large number of serious accidents.",1,The use of cell-phones while driving is a public hazard.,ARG,43,Cellphones,secondary,attack,,,
13,"Cell phone bans in cars do not save lives. James Prieger an economist at the University of California Davis. - ""In our sample, the true effect on accidents is apparently too small to be statistically significant. That is not to say that we think there is no danger at all from using cell phones while driving.""",1,The use of cell-phones while driving is a public hazard.,ARG,44,Cellphones,secondary,attack,contradiction,,
22,"Marijuana use directly threatens other's liberties. Various risks to other citizens are greatly enhanced by marijuana use. Because marijuana impairs judgement and motor skills in various ways, people on a high who attempt to drive or operate heavy machinery risk other people's lives or health. Impaired judgement from marijuana use also has the potential to lead to violent encounters.",6,"If marijuana is harmful, shouldn't individuals be at liberty to experience the punishment of a poor choice, and shouldn't this mean that marijuana use entails its own punishments that requires no imposed government punishment.",ARG,45,Marijuanafree,secondary,attack,,,
22,"Marijuana use directly threatens other's liberties. Various risks to other citizens are greatly enhanced by marijuana use. Because marijuana impairs judgement and motor skills in various ways, people on a high who attempt to drive or operate heavy machinery risk other people's lives or health. Impaired judgement from marijuana use also has the potential to lead to violent encounters.",1,Individuals should be at liberty to use marijuana.,ARG,46,Marijuanafree,secondary,attack,contradiction,,
3,"Even if marijuana's effects were isolated to the individual, there is room for the state to protect individuals from harming themselves. This is why it is illegal, in some places, not wear a seat belt. If marijuana's effects are seen as clearly harmful, the state can justly protect its citizens from it.",1,Individuals should be at liberty to use marijuana.,ARG,47,Marijuanafree,secondary,attack,contradiction,,
18,"The notion that individuals should be free to make the choice to consume marijuana is predicated on the notion that they are fully informed of the costs and are in a position of detached judgement. The problem with this assumption is that many individuals grow up in, for instance, ghettos where marijuana is widespread, social pressure to consume is high, and few information is available regarding the costs. In addition, an individual may be illiterate or lack sufficient recourse to uncovering the costs. Is it fair to that individual to expect that they can make a sound judgement? No. The guidance of marijuana's ""illegal"" status is an important barrier and red flag to such individuals.",1,Individuals should be at liberty to use marijuana.,ARG,48,Marijuanafree,secondary,attack,,,
9,"People advocating same-sex marriage argue that we should accept that the primary purpose of marriage is to give social and public recognition to an intimate relationship between two people, and, therefore, to exclude same-sex couples is discrimination. They are correct if the primary purpose of marriage is to protect an intimate pair-bond. But they are not correct if its primary purpose is to protect the inherently procreative relationship of opposite-sex pair-bonding or to protect an intimate relationship for the purposes of its procreative potential. When marriage is limited to opposite-sex couples, there is no need to choose between these purposes, because they are compatible with each other and promote the same goal. The same is not true if marriage is extended to include same-sex couples. That would necessarily eliminate marriage's role in symbolizing and protecting the procreative relationship.",1,Gay marriage is a civil right.,ARG,49,Gaymarriage,secondary,attack,contradiction,,
8,"Gay marriage is no private matter, but a public issue. Margarette Somerville. ""The case against gay marriage."" McGill Center for Medicine, Ethics and Law. April 29, 2003: ""marriage is not just a matter of private decision-making, it is also of concern to society. That becomes most apparent when a marriage breaks down and ends up in the divorce courts. [...] If society has a valid interest in marriage, as I believe it does, it must remain involved in marriage through the law.""",1,Gay marriage is a civil right.,ARG,50,Gaymarriage,secondary,unrelated,,,
3,"Moral status is a-matter-of-degree, and that human and non-human animals have moral status, or intrinsic value, but to different degrees. On this view, moral status, or intrinsic value, of an animal is dependent on, and derived from, its capacity to have a rich life, which is in turn dependent on its experiential capacity. Given that human beings have the capacity to a richer life than other animals, they also have higher intrinsic value or moral status. Similarly, mammals also have higher intrinsic value than birds, which in turn would have higher intrinsic value than reptiles, which has higher intrinsic value than fish, shrimps, etc. I claim that the ""matter-of-degree"" view is the only plausible view on the comparative moral status between humans and non-humans.",1,Humans and animals are of equal value.,ARG,51,Marijuanafree,secondary,attack,contradiction,,
4,"Unlike animals, humans are capable of rational thought and can alter the world around them. Religious people would say that humans also have souls and a different relationship with God. Other creatures were put on this earth for mankind to use, and that includes eating meat. For all these reasons we say that men and women have rights and that animals don't.",1,Humans and animals are of equal value.,ARG,52,Marijuanafree,secondary,attack,contradiction,,
13,"Beings that lack a rational faculty also lack the capacity to contribute creatively to the values in nature. By contrast, human beings can create value, as a matter of our initiative, not merely exhibit it."" To the extent that animals are of lesser value than humans, it is appropriate to eat them.",1,Humans and animals are of equal value.,ARG,53,Marijuanafree,secondary,attack,contradiction,,
